stage,blastomeres,endocrine_pancreas,epidermis,eye,fast_muscle,fin_epithelia,glial,gut,ionocyte,iridophores,lateral_line,mesenchyme,neural,notochord,olfactory,periderm,slow_muscle,spinal_cord,taste
  3-4,24.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,4.13,0,0,0,0,0,0,0,0,0,0
 24-34,0,0.8,0,0,0,0,0,0,1.82,0,0,0,2.9,0,2.17,0,0,0,0
 36-46,0,0,0,0,3.72,0,0,0,1.03,0,0,0,2.24,0,0,0,0,0,0
 48-58,0,0,0,0.47,0,0,0,0,0.49,0,0,0,2.46,1.24,0,0,0.93,0,0
 60-70,0,0,0,0,0,0,0,0,0,0,0,0,2.3,0,0.88,0.8,0,5.93,0
 72-82,0,0,0,7.65,0,0.63,0,0,1.26,0,1.8,0.94,7.78,0,0,7.29,0,0,0.82
 84-94,0,0,3.78,3.12,3.76,0,0,0,0.68,0,0,0,0,0,0,8.41,0,0,0
 96-106,0,0,1.55,0.81,0.93,1.66,0,0,2.45,0.76,0,2.24,5.98,0,0,11.17,0.6,0,0
108-118,0,0,0,0,0,1.16,0,0,0.59,0,0.49,0,7.34,0,0,5.14,0,0,0
120,0,0,0,0,0,0,2.21,1.21,1.07,0,0,0,10.07,0,0,0,0,0,0
