stage,blastomeres,epidermis,erythrocytes,eye,gut,immune,mesenchyme,mural_cell,muscle,neural,olfactory,paraxial_mesoderm,somites,spinal_cord,vascular_smooth_muscle,vasculature
  5-6,14.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,34.57,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,13.75,1.17,0,0,0
 24-34,0,0,0,0,0,0,0.62,0,0,9.77,0,0,0,0.86,0,0
 36-46,0,0,0,0.84,0,0,0,0,0,2.65,0,0,0,0,0,0
 48-58,0,0.42,0,0,0,0,0,0,0.61,4.53,0,0,0,0,0,0
 60-70,0,0,0,2.17,0,0,1.17,0,0,5.55,1.42,0,0,0,0,10.7
 72-82,0,0,0,0,1.23,0,0,0,0,13.29,0,0,0,0,4.44,0
 84-94,0,0,0,0,0,0,0,0,0,1.97,0,0,0,0,0,0
 96-106,0,0,0,0,0,0.59,0,0,2.72,0.99,0,0,0,0,0,0
108-118,0,0,0.9,6.5,0,0,1.75,0,0,1.54,0,0,0,0,0,0
120,0,0,0,0,0,4.75,0,3.51,0,1.23,0,0,0,0,0,5.14
