stage,axial,blastomeres,endocrine_pancreas,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,13.05,131.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.55,0,0,0,0,0,0,0,0,0,0
  5-6,0,129.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,3.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,3.94,0,0,0,0,0,8.93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.8,2.99,0,0,0,4.57,1.76,0,0,3.02,5.05,0,0,0,0,0.94
 24-34,0,0,0,2,0,0,3.05,0,1.67,0,1.11,0,0,0.69,0,2.38,0,0,0,0,2.43,0,0,3.96,52.89,0.86,1.77,1.09,0,7.59,0,3.06,0,0,20.5,0,0,0,0,0
 36-46,0,0,0,1.25,0,0,6.89,3.67,2.33,0,6.11,0,0,3.59,0,6.96,0,1.24,0,1.09,2.6,0,0,2.58,207.82,0.56,3.58,0,0,34.46,0,3.1,0,0,44.12,0,0,6.45,0,2.44
 48-58,0,0,0,0.67,0,0,37.68,0.8,0.63,0,17.98,0,0,0,0,1.55,0,0,0,4.71,10.6,0.53,0,0.96,368.34,1.95,1.45,1.22,0,21.88,0,0,1.93,0,48.96,0,0,1.53,0,4.77
 60-70,0,0,0,9.73,0,0,177.58,0,1.77,1.49,40.69,9.56,5.24,0,0,2.43,0,0,1.35,0,53.85,1.43,0,1.51,528.67,0,1.74,0,1.22,21.25,0,0,0,0,65.46,0,0,1.58,0,16.93
 72-82,0,0,0.86,6.65,4.31,0,217.09,0,1.37,6.88,36.2,1.95,0.59,0,0.68,1.13,0,0,1.44,1.45,54.26,0,0.63,1.87,366.63,0,4.05,4.34,2.42,11.21,0,0,0,0,19.94,0.56,0,1.76,0,4.52
 84-94,0,0,0,5.96,5.01,0,161.9,1.64,0,6.8,57.11,1.32,1.59,0,1.53,7.91,1.74,0,0,0.67,44.46,1.13,4.3,1.38,326.79,0,0,1.17,0,26.17,0,0,0,0,20.71,0,0,1.19,2.47,11.32
 96-106,0,0,0,4.48,8.22,1.71,186.11,0,0.59,0,35.98,2.22,0,0,0.64,7.11,0,0,0,0,52.62,0.7,2.17,1.34,244.49,0.68,1.84,3.18,0,34.74,0,0.62,0,0,10.28,0,3.81,2.26,1.58,0.8
108-118,0,0,0,5.33,0,2.73,159.33,0.5,3.28,2.48,50.02,4.83,0,0,0,20.59,3.17,3.74,2.14,0.61,56.17,0,0.46,3.61,311.87,0.67,3.46,2.9,0,36.46,0,0.41,0,0,15.73,3.43,0,10.14,5.77,8.46
120,0,0,0,20.47,0,0,161.54,0,3.61,12.74,68.64,21.84,0,0,4.33,10.28,0,1.88,7.09,7.72,62.69,3.49,2.58,0,362.16,3.53,6.75,7.15,0,21.77,0,1.66,0,0,0,0,1.54,6.93,0,2.34
