stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,eye,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,iridophores,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,paraxial_mesoderm,pericytes,presomitic_mesoderm,pronephros,somites,spinal_cord,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,55.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,39.2,182.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.78,0,0,0,0,0,0,0,0,0,0,0
  7-9,6.35,0,0,3.69,0,26.68,0,0,0,3.57,0,0,0,0,0,0,0,88.78,12.23,0,16.19,0,0,0,0,0,0,0,0
 10-12,0,4.08,0,0,0,3.89,0,0,0,0,0,0,0,0,0,0,0,48.38,0,0,22.79,0,0,36.51,0,0,0,0,0
 14-21,0,0,0,0,2.98,0,0,0,0,0,0,0,0,0,4.25,0,1.05,27,0,0,0,0,1.28,0,1.97,7.76,0,0,0
 24-34,0,0,0,0,0,2.13,0,0,1.02,0,0.8,0,0,0,9.29,0,5.71,34.62,0,0,0,0,0,0,0,6.71,4.93,0,0
 36-46,0,0,0,0,1.08,8.22,0,2.83,0,0,0,0,0,0,32.03,0.8,7.08,43.29,0,0,0,0,0,0,0,6.14,1.33,0,0
 48-58,0,0,0,0,0,8.15,0,3.36,0,0,0,0,0,0,13.47,0,2.27,27.38,0,0,0,0,0,0,0,10.22,0.84,0,0
 60-70,0,0,0,0,0,8.06,1.18,0.58,0,0,0,0,0,0,22.24,0.7,0.84,20.82,0,0.98,0,0,0,0,0,10.71,0,0,0
 72-82,0,0,0.57,0,0,4.27,0,3.29,0,0,0,0,0,0,15.42,0,0.76,35.07,0,0,0,0,0,0,0,7.34,1.71,1.78,0
 84-94,0,0,0,0,0,0.81,0,0.77,0,0,0,0,0.67,0,8.84,0,5.85,24.04,0,0,0,0,0,0,0,0,0,0.98,0
 96-106,0,0,0,0,0,3.81,0,5.19,0,0,0,0.62,0,0,17.96,0,2.56,39.34,0,3.92,0,0,0,0,0,0,0,0.59,2.01
108-118,0,0,0.76,0,1.83,6.64,1.08,6.13,0,0,0,0,0,0.74,18.42,3.45,4.38,16.05,0,0.54,0,1.6,0,0,0,1.47,0.58,0,0
120,0,0,0,0,0,2.51,0,0,0,0,0,0,0,0,26.47,0,0,5.89,0,0,0,0,0,0,0,0,0,8.36,0
