stage,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
 14-21,0,23.48,174.67,30.6,0,80.78,0,1,0,22.22,5.98,3.17,1.07,0,6.16,0,0,0,0.85,78.8,0,0,65.05,952.19,47.71,10.95,4.56,25.34,0,40.36,2.33,75.22,9.18,0,82.52,308.12,0,0,4.28,0,0.84
 24-34,3.43,5.46,76.53,3.04,0,162.76,0,8.08,1.39,53.35,1.91,11.14,2.82,3.58,15.46,1.73,6.23,3.48,7.42,150.46,3.23,0.69,59.07,1880.48,18.44,25.51,19.8,0,1.99,162.37,0.98,0,8.19,1.74,20.73,387.41,0,0,32.05,0,21.6
 36-46,0,0,33.3,20.97,0,265.63,3.05,2.89,8.91,77.68,2.36,0,0,4.87,15.27,1.21,2.91,2.08,6.92,158.61,2.1,1.95,49.34,2203.39,7.84,29.98,20.58,0,0.77,140.15,0,1.05,7.72,0,0.69,436.1,0,3.22,23.59,0,18.63
 48-58,0.4,0,34.83,3.87,0,602.01,0,6.29,15.91,214.59,3.38,0,3.02,4.44,19.61,6.26,4.91,16.62,7.61,251.86,8.53,6.73,46.09,2325.92,11.64,23.47,6.98,0,0,90.18,0,0,4.84,0,0,454.27,0,1.39,22.44,0,40.5
 60-70,0.86,0,42.73,10.42,0,930.02,1.27,7.95,23.16,162.64,11.68,0,13.11,0.64,9.25,13.61,8.23,13.89,4.16,286.81,2.26,21.81,15.62,2154.76,10.67,9.41,24.09,0,2.4,77.4,0,0,4,0,0,285.01,4.96,7.4,8.77,0.94,30
 72-82,5.61,0,42.14,9.66,0,855.8,0.6,8.08,19.57,218.28,17.67,1.09,3.79,5.64,5.41,4.42,7.23,1.67,14.37,347.65,2.55,9.42,18.81,1672.07,4.75,16.06,25.34,0,5.48,45.87,0,0,2.66,0,0,184.74,8.01,4.57,27.95,6.25,43.23
 84-94,10.2,0,54.08,24.2,3.11,631.69,0.91,5.22,7.76,181.82,27.79,0,2.51,10.08,12.28,8.84,4.54,7.99,23.6,357.56,3.95,15.18,18.82,1215.37,6.64,9.63,28.39,0,0,132.9,0,0,3.96,0,0,133.56,21.75,3.2,38.23,6.31,24.68
 96-106,7.16,0,66.47,23.23,1.6,621.81,0.67,5.13,12.03,141.57,26.19,0,1.81,10.04,4.28,5.64,4.58,8.49,4.29,241.61,14.78,7.55,24.56,973.57,4.58,28.01,17.64,0,6.89,98.71,0,0,4.99,0,0,52.16,24.89,10.47,43.37,13.02,19.83
108-118,2.78,0,88.3,11.49,15.57,539,0,6.62,16.15,197.99,37.78,0,1.8,10.72,12.37,12.56,10.4,9.43,11.73,219.16,5.19,5.12,21.73,1248.84,6.31,18.77,33.04,0,8.5,63.31,1.06,0,6.71,1.07,0,43.75,22.25,6.59,27.64,5.19,28.01
120,3.9,0,69.38,48.86,2.84,532.86,4.49,5.96,11.88,264.78,20.46,0,4.91,25.72,3.26,8.82,9.33,22.34,0,258.51,3.25,0,33.04,1739.94,5.34,7.84,34.27,0,25.31,61.8,0,0,2.78,2.83,0,147.57,7.03,14.15,45.88,7.01,16.95
