stage,endocrine_pancreas,epidermis,erythrocytes,eye,glial,gut,heart,iridophores,liver,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,spinal_cord,taste,vascular_smooth_muscle,vasculature,xanthophores
 14-21,0,0,1.93,0,0,0,0,0,0,0.89,0,0,12.03,0,0,0,11.1,0,0,0,0
 24-34,0,0,0,1.51,0.83,0,0,0,0,0,0,0.65,78.14,0,0,0,20.86,0,0,4.46,0
 36-46,0,0,0,1.91,1.1,0,0.93,0.74,0,4.84,0,0.77,94.39,0,0,0,24.89,0,0,0,1.67
 48-58,0,0,0,18.72,2.24,0,0,0,0,7.31,0,1.71,93.75,0,0,0,25.67,0,0,1.36,0
 60-70,0,0,0,32.53,6.23,0,0,0,0,5.31,0,0,69.39,0,4.77,0,15.25,0,0,2.37,0
 72-82,0,1.56,0,30.81,3.26,0,0,0.63,0,9.77,0,2.66,76.09,0,0,0,6.46,0,0,0,0
 84-94,0,0,0,26.94,11.82,0,0,3.67,0.57,9.22,0,2.08,22.3,0,0,0,15.49,1.01,0,3.1,0
 96-106,0,0.71,0,36.63,4.32,0,0,1.05,0,11.88,0.92,1.54,48.33,0,0,0,6.41,1.68,1.23,6.22,0
108-118,0.91,0,0,24.96,5.76,0,0,7.19,0,9.39,0.63,0,50.98,0.47,0.72,0.78,0,0,0,0,0.89
120,0,0,0,8.77,0,8.89,0,0,0,1.87,1.38,0,21.34,0,0,0,4.03,0,0,0,0
