stage,blastomeres,eye,immune,neural,spinal_cord
  3-4,35.15,0,0,0,0
  5-6,25.96,0,0,0,0
  7-9,0,0,0,4.42,0
 24-34,0,0,0,0,2.8
 36-46,0,0,0,4.85,1.65
 48-58,0,0,0,5.52,5.12
 60-70,0,0.99,0,5.75,11.21
 72-82,0,1.34,0,13.48,1.64
 96-106,0,0,0,7.19,0
108-118,0,0.87,1.01,2,0
120,0,9.22,0,14.1,0
