stage,blastomeres,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,heart,immune,melanocytes,mesenchyme,muscle,neural,periderm,pronephros,spinal_cord,vasculature
  3-4,26.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,7.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,4.12,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,3.25,0,13.64,0,0
 14-21,0,0,64.56,0,0,0,0,1.8,0,0,0,0,0,0,0,0,85.07
 24-34,0,4.07,7.58,0,0,1.54,0,15.4,0,0,0,1.03,25.24,0,0,2.99,370.33
 36-46,0,2.57,0,0,0,0,0,4.41,0,1.09,0.67,0,37,0,0,0.61,262.18
 48-58,0,0,0,1.95,0,0,0,0.55,4.42,0,2.85,0.49,28.95,0.8,0,4.81,193.35
 60-70,0,3.73,0,0,0.61,0,0,5.63,10.64,0,0.61,0,26.28,0,0,1.68,223.92
 72-82,0,0,0,0,0,0,0,4.4,5.23,0,1.55,0,19.23,0,0,0,299.32
 84-94,0,0,0,1.05,0,0,0,3.31,2.39,0,0.65,0,3.73,2.4,0,0,256.16
 96-106,0,0.73,0,13.78,0,0,2.1,2.65,3.41,0,1.07,0,8.11,0,0,0,220.85
108-118,0,0,5.15,3.51,0,0,2.02,3.27,2.18,0,0,0,9.19,0,0.58,0,205.39
120,0,1.48,0,0,0,0,0,0,1.89,0,0,0,10.56,0,0,0,177.21
