stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,158.76,1206.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82.01,0,0,0,0,0,0,0,0,0,0
  5-6,129.26,1295.69,0,10.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69.13,0,0,0,8.83,0,41.23,0,0,0,0,0,0,0,0,0,0
  7-9,17.58,58.03,0,17.44,0,0,326.17,0,0,0,0,0,13.75,0,0,0,0,0,0,0,0,0,0,0,1246.9,16.47,0,0,170.64,0,0,3.79,0,0,0,0,0,0,0,0,0
 10-12,0,65.35,0,3.73,0,0,267.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1358.72,29.47,0,0,200.01,0,4.05,0,0,26.5,0,0,0,0,0,0,0
 14-21,0,0,0,1.03,49.99,3.92,44.58,0,0,0,4.24,0,1.97,0,0,14.26,2.24,0,0,55.89,50.78,1.99,0,24.01,1040.14,5.83,0,57.03,1.82,0,0,0,66.21,5.23,17.41,182.38,0,0,1.98,0,23.82
 24-34,0,0,0.75,1.45,14.2,1.21,63.14,0,0,0,16.04,0,0,3.54,0,19.54,12.21,0,0,122.19,168.21,0.63,0,54.92,2189.3,1.89,3.29,37.35,0,0,1.56,0,0,0,3.41,331.65,0,0,40.74,0,103.67
 36-46,0,0,0,0,4.8,0,81.89,0,0,17.19,87.03,0,0,0.63,0,6.98,19.53,0,0,91.23,162.95,0.68,0,14.96,2070.96,6.29,0,28.68,0,0,2.02,0,0,0.6,0,247.44,0,0,89.09,0,142.42
 48-58,0,0,0,0,25.37,0.39,128.7,1.43,2.84,22.69,98.34,0,0,1.98,0,17.13,13.85,0.81,0,52.24,206.41,0,0,21.72,1256.89,0.46,1.83,36.75,0,0,1.4,0,0,0,0,109.05,0,1.12,52.67,0,137.56
 60-70,0,0,0,0,22.24,0.7,167.73,0,0.59,41.92,85.45,0.64,0,1.97,0,1.78,33.56,0,9.86,26.95,193.09,0,0.93,4.83,634.79,0,0,21.14,0,7.42,7.05,0,0,0,0,42.69,11.47,1.9,62.42,0,81.27
 72-82,0,0,0,0,42.19,0.87,104.69,3.84,1,23.35,87.74,1.16,0,3.34,0,7.47,24.16,0,0,33.8,251.3,0,7.78,8.51,358.16,0,7.91,41.63,0,7.36,0.59,0,0,0,0,24.31,41.54,9.5,118.05,0.53,65.78
 84-94,0,0,0,0,47.37,0,143.93,0,0.56,24.71,62.66,3.29,0,2.97,0.56,16.18,32.31,2.69,0,76.88,196.23,0,0.61,7.64,232.19,0,0,76.48,0,7.88,11.12,0,0,0,0,17.83,69.73,4.2,170.38,0,73.08
 96-106,0,0,0,0,73.54,15.02,156.84,2.14,2.65,35.17,105.84,3.98,0,11.44,0,15.98,22.5,2.35,0,45.21,216.92,14.81,4.19,4.33,251.47,0,0.81,75.93,0,11.66,0,0,0,2.07,0,5.7,28.59,1.97,176.42,2.72,63.24
108-118,0,0,0,0,64.39,0.89,139.85,1.5,0,34.76,71.91,3.15,0,7.04,3.77,9.15,64.92,0,0,62.41,218.48,0,11.96,5.19,281.87,0,0.47,73.06,0,22.48,2.96,0,0,0.85,0,10.19,45.8,1.46,188.73,1.46,73.3
120,1.12,0,0,0,44.02,1.83,63.22,2.85,0,8.74,179.69,6.97,0,13.88,0,8.54,24.29,3.09,0,6.97,187.16,0,10.15,4.6,290.07,0,3,116.71,0,16.9,15.08,0,0,0,0,0,11.42,5.4,179.22,0,45.99
