stage,blastomeres,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,slow_muscle,somites,spinal_cord,taste,vasculature,visceral_smooth_muscle,xanthophores
  3-4,22.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,93.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,4.73,0,0,0,16.72,0,0,0,0,0,11.2,0,0,0,0,0,0,0,0,0,0,0,117.82,0,0,0,47.61,0,0,0,0,0,0,0,0,0,0
 10-12,4.08,0,0,0,4.64,0,0,0,0,0,6.08,0,0,0,0,0,0,0,0,0,0,0,49.01,0,0,0,16.08,0,0,0,0,0,0,0,0,0,0
 14-21,0,6.15,2.2,0,3.93,0,0,0,0,1.89,0,0,0,0,0,0,0,0,0,0,0,0,42.5,0,0,0,1.28,0,0.85,1.96,0,1.28,5.38,0,0,0,0
 24-34,0,0.77,0,0,1.31,0,0,0,1.33,0,0,0,0,0,0,0,0,0,2.06,0,0,3.64,1582.25,0,0,0,0,0,0,0,0,1.44,32.38,0,0,0,0
 36-46,0,1.53,0,0,59.03,0,0,0,2.42,0,0,0,1.91,0,0,0,0,0,4.95,0,0,3.53,3914.56,0,1.06,0,0,0,1.23,0,0,0,158.51,0,1.36,0,0
 48-58,0,7.13,0,0,108.5,0,2.16,0,17.93,0,0,0,0,0,0.62,0,0,5.41,19.97,0,0.95,1.3,4006.03,0.6,0.92,0,0,0,1.4,0,0.63,0,238.94,0,0,0,0.63
 60-70,0,0.95,0,0,80.93,1.02,0.94,0.76,16.47,0,0,0.76,0.65,0,0.63,0,1.35,2.61,19.43,0,1.12,0.63,2362.7,5.48,0,2.43,0,0,0,0,0,0,226.03,0,4.42,0,2.89
 72-82,0,4.42,0,0,94.49,0,8.41,0,8.46,0,0,0,0,0,0,0,0,0,15.74,1.59,0.76,1.57,1635.91,0,1.28,2.12,0,0,1.95,0,0,0,150.54,0,1.64,1.15,0
 84-94,0,3.43,0,0,93.92,0,0,0,13.71,1.84,0,0,0,0,0,0,0,0,4.84,0,6.3,3.55,874.71,0,0,0,0,1.53,2.09,0,0,0,44.44,1.63,0,0,0
 96-106,0,5.51,3.97,0,41.88,0,0,0,8.86,0,0,0,0,0,0,1.02,0,0,7.77,0,1.67,0,714.03,0,0,0,0,0,3.38,0,0,0,49.71,0,0.87,0,1.26
108-118,0,4.94,0,4.57,34.48,0.43,0,0,16.81,1.47,0,0,0,0.47,0,0,0,0,6.73,0,1.4,0.45,1015.26,0,1.4,0,0,0,0.99,0,0,0,28.54,0,0.42,0,0
120,0,6.36,0,0,94.19,0,0,0,5.06,0,0,0,0,0,0,0,0,0,14.58,0,0,0,1205.63,0,0,0,0,0,0,0,0,0,11.88,0,0,0,0
