stage,epidermis,glial,gut,mesenchyme,neural
 14-21,1.31,0,0,0,3.03
 60-70,0,0,0,0.61,1.35
 84-94,0,2.71,0.71,0,0
 96-106,0,0,2.1,0,0
108-118,7.76,0,3.08,0,0
120,0,0,10.01,1.55,0
