stage,endoderm,epidermis,erythrocytes,eye,glial,gut,heart,ionocyte,liver,mesenchyme,mucous,mural_cell,muscle,neural,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,somites,spinal_cord,taste,vasculature,xanthophores
 14-21,1.79,3.54,3.92,1.65,0,0,0,0,0,0,0,0,1.75,67.81,0.93,0,2.62,0,3.56,1.85,16.71,0,0,0
 24-34,0,0,0,3.28,0.96,0,0,0,0,2.58,0,0,0,92.47,0,0.79,0,1.57,0,0,28.82,0,0,0
 36-46,0,1.65,0,17.02,3.42,0,1.26,0,0,2.2,0,0,0,83.36,0,0,0,11.64,0,0,20.44,0,0,0
 48-58,0,0,0,23.72,3.04,0,0,0,0.39,5.01,0,0,1.45,48.1,0,0,0,0,0,0,5.68,0,0,0
 60-70,0,5.07,0,19.53,3.19,0,0,5.75,0,3.5,0,0,0,42.25,0,0,0,0,0,0,3.07,0,1.86,0.65
 72-82,0,0,0.8,10.18,0.93,0,0,0,0,5.5,0,0,0,41.63,0.52,0,0,0,0,0,7.77,0,0,0
 84-94,0,1.14,0,19.03,3.81,0.57,0,0,0,2.76,4.93,0.85,0,15.74,0.86,0,0,1.14,0,0,1.07,0.78,2.42,0
 96-106,0,0,0,15.84,1.29,0.69,0,0,1.45,3.07,0,0,0,3.19,0.76,0,0,1.54,0,0,0,0,4.01,0
108-118,0,0,0.46,18.85,3.24,1.76,0,0.48,0,1.1,0,0,2.78,20.85,0.7,0,0,0.5,0,0,0,0,0,3.03
120,0,2.42,0,14.39,14.34,5.29,0,0,0,12.2,0,0,0,87.99,0,0,0,0,0,0,0,0,0,0
