stage,blastomeres,endocrine_pancreas,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  5-6,22.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.26,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.92,0,0,0,4.18,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44.46,0,0,0,7.77,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,8.71,0.83,0,0,0,0,3,0,0,0,0,0,0,0,0,2.08,1.8,0,0,0,18.96,0,0,0,0,0,0,3.73,0,0,3.75,5.85,0,2.07,0,0
 24-34,0,0,0.87,0,0.62,0,1.59,0,0,0,0,0,0,0,0,0,0,0,6.35,0,0,0,40.06,0.68,0,0,0,0,10.57,0,0,0,0,9.25,0,4.11,0,0
 36-46,0,0,0,0,6.35,0,0,0,1.2,0,0,0.99,0,0,0,0,0,0.91,1.79,0,0,0,48.45,0,1.17,0,0,0,0,0,0,0,0,5.2,0,0,0,0
 48-58,0,0,0,0,16.26,0.53,0.55,0.45,2.86,0,0.48,0,0,0,0,0,0,13.36,11.04,11.15,0,1.82,61.45,0,0.39,0,0,0,10.33,0,0,1.17,0,2.97,0,2.99,0,0
 60-70,0,0,12.86,0,33.89,2.26,3.92,1.24,10.66,0,0,0,1.41,4.05,0,0,0,0.86,20.14,1.01,0,2.24,53.67,0,3.16,0,0,0,15.43,0,0,0,0,14.76,0,2.52,0,8.17
 72-82,0,0,2.78,12.26,39.52,0,0,0,7.71,1.25,0,0,1.51,0,0,0,0,0,42.02,0,2.91,1.45,97.18,0,4.12,1.16,0,0,7.5,0,0,0,0,12.16,0.73,11.32,0,3.86
 84-94,0,0,6.64,2.23,29.89,0,0.79,8.09,11.62,0,0,0,11.36,0,0,0,0.88,1.79,30.82,0.91,0,4.37,65.9,0,0,0,0,0,11.28,0,1.07,9.21,0,7.12,0,3.78,1.55,2.4
 96-106,0,1.15,5.56,10.21,30.82,1.59,2.5,0,5.87,3.34,0,3.05,7.54,1.6,0.6,2.39,2.26,0,48.31,5.46,9.04,0,30.6,0,2.04,0,0,0,41.99,0,0,0,0,6.42,0,10.26,0,21.37
108-118,0,0,10.33,17.28,27.98,0,0.85,2.38,7.8,1.4,0,0,7.16,2.56,3.52,0,0,6.58,35.2,0,1.74,3.05,43.58,1.55,0,2.18,0,2.81,25.1,0,0,0,0,7.52,0,20.63,0,5.49
120,0,0,10.93,19.36,26.2,0,4.91,15.43,3.91,1.08,0,0,50.8,1.63,2.6,1.62,1.28,0,77.77,3.25,0,0,109.92,0,2.28,0,0,0,32.88,0,0,0,0,10.44,0,6.69,5.05,0
