stage,blastomeres,epidermis,eye,fast_muscle,fin_mesenchyme,glial,hatching_gland,heart,liver,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,somites,spinal_cord,visceral_smooth_muscle
  5-6,16.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.2,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,15.29,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,2.49,4.56,1.04,27.67,0,0,0,0,5.36,2.13,0
 24-34,0,0,1.08,0,0,0,0,0,0,13.78,5.49,42.59,165.72,0,0,0,0.88,0.59,4.89,0
 36-46,0,0,1.84,6.58,0,2.16,0,0.56,0,29.18,0.69,33.04,132.08,0,0,0,3.75,0,1.68,0
 48-58,0,0,3.65,0,0,0.85,0,0,0,25.44,3.43,26.44,143.23,0,0,0,0,0,3.98,0
 60-70,0,0,5.63,0,0,0.84,0,0.76,0,34.31,0,21.75,160.77,0.58,4.69,0,0.96,0,0,0
 72-82,0,0.67,7.94,2.65,0,0,0.62,0.86,0,8.21,4.58,8.02,52.29,0,0,0,0,0,3.04,0
 84-94,0,0,7.31,0,0,0.74,0,0,0,11.67,0,1.45,123.88,0,0,0,0,0,0,3.02
 96-106,0,2.37,11.8,0,0,0,0,0.61,0,3.32,2.2,8.98,75.04,0,0,0,0,0,0,0
108-118,0,0.43,0,0,0,0,0,0,0.48,7.33,0,2.86,101.67,0,0,0,0,0,0,0.65
120,0,1.56,0,0,2.48,0,0,0,0,0,6.66,20.71,186.76,0,0,0,0,0,0,0
