stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_mesenchyme,glial,hatching_gland,heart,immune,iridophores,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vasculature,xanthophores
  3-4,0,180.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,255.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.67,0,0,0,0,0,0,0,0,0,0,0
  7-9,4.87,16.59,0,5.25,0,0,60.77,0,0,7.36,0,0,0,0,0,0,0,357.26,36.41,0,141.93,0,0,0,0,0,0,0,0
 10-12,0,25.56,0,34.2,0,0,68.72,0,0,12.96,0,0,0,0,0,0,0,735.14,21.04,0,281.53,4.52,0,32.32,0,11.75,0,0,0
 14-21,0,0,0,0,5.2,0.88,0,0,0,0,0,0,0,0.87,0,0,2.35,18.56,0,0,1.69,0,8.32,0,5.91,3.91,0,0,0
 24-34,0,0,0,0,0.59,0,8.94,0,2.78,0,0.8,0,0,0.77,0,0,0,19.54,0,0.64,0,0.8,0,0,0,1.94,0,0,0
 36-46,0,0,0,0,0,0,0.66,0,0,0,0,0,0,2.34,0,0,0,14.1,0,2.74,0,0.56,0,0,0,0.68,0,0,0
 48-58,0,0,0,0,0.44,0,7.27,0,0,0,0,0,0,0.5,0.5,0.4,0.83,5.08,0,0,0,0,0,0,0,0,0,2.15,6.31
 60-70,0,0,0,0,5.12,0,6.59,0,0,0,0,0,0,0,0,0,0,3.69,0,0,0,0,0,0,0,0,1.72,0,0
 72-82,0,0,0,0,2.86,0,3.1,0,0,0,0,0,0,1.94,0,0,1.53,12.25,0,0,0,0,0,0,0,0.87,0,0,0
 84-94,0,0,0,0,1.06,0,7.77,0,0,0,0,0,0,0.56,0,0,0.77,2.67,0,0,0,0,0,0,0,0,0,0,0
 96-106,0,0,1.53,0,0.59,1.56,4.67,0,3.32,0,0,3,4.35,0,0,0,0,7.78,0,0,0,1.2,0,0,0,0,0,0,0
108-118,0,0,0,0,1.52,0,1.86,0,1.11,0,0,0,0,5.64,0,0,2.53,7.87,0,0,0,0.75,0,0,0,0,0,0,0
120,0,0,0,0,5.34,0,20.56,3.29,0,0,0,0,0,12.13,0,0,0,32.46,0,0,0,0,0,0,0,0,0,0,0
