stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,spinal_cord,vasculature,visceral_smooth_muscle
  3-4,79.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,94.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,5.39,0,0,0,79.75,0,0,0,0,0,0,0,0,0,0,0,0,147.04,0,0,0,3.96,0,0,0,0,0,0
 10-12,0,0,0,0,48.15,0,0,0,0,0,0,0,0,0,0,0,0,201.11,0,0,0,0,0,0,0,0,0,0
 14-21,0,2.05,1.04,1.83,3.63,0,0,3.57,0,0,0,0,0,0,0,0,1.11,113.03,0,0.85,0,0,0,1.04,0,65.5,0,0
 24-34,0,0.76,1.28,0,3.28,0,0,25.19,0,0,0.81,0,0,0.76,0,1.84,0.63,570.92,0,1.63,2.26,0,2.43,0,0,170.81,0,0
 36-46,0,0,0,0,75.23,0,0,234.95,0,0,0,0,0,0,10.8,3.67,1.33,1058.69,0,0,0,0,4.08,0,0,322.74,0.65,0
 48-58,0,0,1.21,0.48,182.53,2.05,0,531.18,0,0,0,0,0.73,0,0,6.04,0,798.88,6.45,1.27,0,0,7.58,0,0.56,362.56,0,0
 60-70,0,0,0,0,78.48,0,0,361.81,0,1.9,0,9.69,0,0,0,3.58,0,451.92,0,3.96,0,0,4.97,0,0,153.53,0,0
 72-82,0,0,4.07,3.49,57.19,0,0.59,323.15,2.04,0,0,0,0.74,0,0,5.7,0,215.86,0,0.52,1.73,0,1.14,0,0,90.14,0.96,1.27
 84-94,0,0,0.97,0,88.71,0,0,309.11,0,0,0,0,0,0,0,6.95,0.79,178.64,0,0,4.25,0,2.69,0,0.67,42.39,0,0
 96-106,0,0,13.29,0,26.99,0,0,277.38,0,0,0,0,0,3.08,0,14.52,0,179.3,0,0,0,0,7.08,0,0,30.76,0,0
108-118,0,0,1.55,5.77,36.62,0,0,301.42,0,0,0.45,0,0.74,0,0,15.11,0.82,167.64,0,0,0,0,10.35,0,1.88,57.04,0,0
120,0,0,1.39,0,39.41,0,0,668.94,0,2.75,0,0,1.69,0,0,0,5.61,291.67,0,0,0,0,1.87,0,0,39.32,7.56,0
