stage,endoderm,epidermis,erythrocytes,eye,gut,heart,lateral_line,liver,mesenchyme,muscle,neural,paraxial_mesoderm,spinal_cord
 14-21,0.85,0,0,0,0,0,0,0,0,0,1.05,0,0
 24-34,0,0,0,0,0,0,0,0,0.82,0,0,0,0
 36-46,0,0,0,0,0,1.06,0,0,0,1.08,2.18,0,0.67
 48-58,0,1.51,0,6.5,0.38,0,0,0,0,0,2.33,4.77,2.45
 60-70,0,1.17,0,0,0,0,0,0,0,0,4.75,0,0
 72-82,0,1.95,0,1.36,0,2.08,0,0,0,0,3.42,0,0
 84-94,0,1.52,0,6.96,0,0,0,0,2.09,0.78,6.85,0,0
 96-106,0,0,2.83,3.42,0,0,0,0,2.48,0,0,0,0
108-118,0,0,0,0,0,0,0,0.56,1.04,0,0,0,0
120,0,2.16,7.59,0,0,0,2.98,0,0,0,12.55,0,0
