stage,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
 14-21,0,0,7.89,10.85,1.97,0,0,0,186.76,3.13,0,0,0,0,0,0,14.07,0,0,8.21,177.97,4.3,1.74,10.9,5.82,0,2.21,0,6.81,158.53,0,7.35,396.95,0,0,1.05,0,0
 24-34,0,0,2.74,0,2.03,0,0,2.54,167.59,0,0,0,0,0,0,9.04,15.58,0,0,3.24,254.24,0.75,4.14,9.81,0,0,5.1,0,0,93.66,0,6.62,396.55,0,0,0,0,0
 36-46,0,0,2.73,0,20.1,0,0,0.56,97.49,0.61,0.71,0,0,0,0,8.29,12.58,0,0,0.81,313.26,1.67,7.44,3.96,0,0,19.38,0,0,27.82,0,0,262.88,0,0,0,0,0
 48-58,0,0,0.89,0,49.08,0,6.7,0.99,91.06,0.41,0,0,0,2.41,0,3.72,6.32,0,0,1.25,354.21,0,11.05,6.42,0,0,0.52,0,0,10.01,1.46,0,250.28,0,0,5.47,0,10.07
 60-70,0,0,1.53,0,190.23,0,4.31,0,147.53,0.85,0,0,0,4.57,0,0,8.5,0,0,0.68,464.82,0,14.49,14.54,0,0,10.01,0,0,16.09,0,0,138.8,0,0,10.96,0,0
 72-82,1.47,0,2.77,1.6,242.98,0,0,0,179.17,2.01,0,0,0,10.43,0,0,20.85,1.05,0,1.93,497.3,0,20.62,18.61,0,0,3.79,0,0,6.17,0,0,105.09,0,0,2.23,0,0
 84-94,0,0.59,4.76,0,88.77,0,0,4.11,135.3,0.64,0.8,0,0,13.98,0,6.67,14.77,2.69,0.72,0,360.7,0,12.93,33.41,0,0,20.43,0,0,13.54,0,0,57.45,0,0,0.77,3.56,0.86
 96-106,0.99,4.23,6.61,0,55.29,0,0.9,0,147.55,8.17,0,0.57,0,44.61,2.42,0,9.98,3.84,0,2.29,294.4,0,26.62,36.7,0,0,14.92,0,0,6.11,0,0,85.02,0,2.43,12.79,3.05,0
108-118,5.47,1.83,2.86,0.66,97.85,0.98,0,7.72,117.74,8.92,1.42,0,5.12,24.05,1.86,0,18,5.91,0.49,5.18,351.44,0,23.99,45.25,0,4.97,4.52,0.48,0,10.52,0.63,0,59.76,0,0,8.31,2.47,4.38
120,0,0,8.3,2.14,109.77,0,0,0,112.53,7.43,4.21,2.04,0,31.8,0,0,14.1,3.05,0,0,592.39,2.06,30.31,34.74,0,0,2.58,0,0,28.32,0,0,125.1,13.44,0,0,0,0
