stage,axial,blastomeres,eye,fin_epithelia,heart,immune,mesenchyme,neural,notochord
  3-4,0,15.57,0,0,0,0,0,0,0
  5-6,15.43,23.36,0,0,0,0,0,19.76,0
  7-9,0,6.62,0,0,0,0,0,0,10.16
 10-12,0,0,7.21,0,0,0,0,23.54,0
 14-21,0,0,0,0,1.3,0,1.1,0,0
 48-58,0,0,0.81,0.55,0,0,0,0.61,0
 60-70,0,0,0.99,0,0,0,0,0,0
 72-82,0,0,3.46,0,0,0.85,0,0,0
 96-106,0,0,0,0,0,0.71,0,0,0
108-118,0,0,0,0,0,1.04,0,1.81,0
