stage,axial,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vasculature,visceral_smooth_muscle,xanthophores
 14-21,0,0,1.83,19.42,0.94,0,1.67,0,0,0,0.83,0.91,0,0,0,0,0,0,0,5.92,0,0,6.68,57.74,0,0,0,0.87,0,7.81,0,2.17,0.99,1.91,8.29,10.15,0,0,0,0
 24-34,0,0,0,6.29,0,0,6.44,0,3.21,0.88,0,0,0,0,0,0,0,0.79,0,17.94,0.79,0,5.68,51.28,0.99,1.24,1.38,0,0,0.71,0,0,0,0,0,21.96,0,8.47,0,0
 36-46,0,0,0,6.43,0,0,12.16,0,3.53,1.49,4.29,0,0,0,0,7.84,0,0,0,14.67,0,0,4.1,110.48,1.44,0,0,0,0,17.05,0,0,0,0,0,12.44,0,0.65,0,0
 48-58,0.39,0,0,15.3,0,0,28.32,0,3.03,1.58,6.43,5.2,0.9,0,0,0,0,1.04,0,16.06,0,0,3.86,110.6,0,1.09,0.42,0,0,9.83,0,0,0,0,0,9.54,0,0,0,0
 60-70,0,14.44,0,8.44,0,0,65.73,0,0.61,4.05,5.7,60.85,0,0,0,0,1.39,17.95,1.05,21.48,0,1.14,1.28,108.84,0,0,3.25,0,1.22,7.94,0,0,0,0,0,18.53,0,0,0,0
 72-82,0,29.93,0,1.66,6.1,0,49.87,0.69,7.33,3.62,5.26,139.46,0,1.64,0,0,0,0.76,0,17.19,1.23,7.79,0,133.56,2.7,0.71,1.71,0,1.4,4.91,0.56,0,0,0,0,21.94,5.31,8.22,0,0
 84-94,0,43.12,4.19,2.8,0,0.87,56.75,0,1.82,4.22,28.49,343.71,0,0,0.56,0,0,7.31,0,26.85,0,1.76,4.26,95.89,0.67,2.63,1.51,0,0,4.2,0,0,0,0,0,11.6,0.78,1.68,0,0
 96-106,0,11.29,0,1.72,4.4,3.15,52.34,0,1.52,0,7.69,428.01,0,0,3.83,9.71,1.09,16.95,0,27.79,0,0,0,108.24,0,0.56,1.53,0,0,8.33,0,0,0,5.77,0,0,0.67,0,0.56,0
108-118,0,19.9,1.54,3.75,1.44,4.56,54.91,0.46,4.12,3.66,6.62,486.78,0,2.43,1.59,0.82,1.36,4.79,0,33.73,0,0,0.68,88.04,4.43,1.62,0,0,0,8.64,0,0,4.83,0.56,0,2.68,0,0.56,2.97,1.55
120,0,20.41,0,8.65,0,0,79.01,0,7.25,5.27,8.4,308.48,0,0,0,0,0,0,0,27.44,0,0,1.62,223.78,4.12,3.57,17.42,0,10.01,1.19,0,0,0,0,0,4.47,0,0,4.27,0
