stage,blastomeres,epidermis,eye,fast_muscle,fin_mesenchyme,glial,gut,immune,liver,mesenchyme,mural_cell,muscle,neural,paraxial_mesoderm,periderm,somites,spinal_cord,visceral_smooth_muscle
  3-4,21.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,0,0,0,0,0,0,0,0,0,0,0,9.88,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,5.67,4.32,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,5.65,5.33,0,0,0,0
 14-21,0,1.1,0,0,0,1.98,0,0,0,0,0,0,0.85,0,0,0.84,1.09,0
 24-34,0,0,0.61,0,0.62,0.92,0,0,0,2.42,0,0,3.99,0,0.77,0,1.08,0
 36-46,0,0,0,0,0,0,0,0,0,1.12,0,0,0.69,0,0.7,0,0,0
 48-58,0,2.99,1.63,0.96,0,0,0,0,0,0,0,1.44,7.24,0,2.16,0,0,0
 60-70,0,5.79,1.32,0,0,0,1.45,0,0,0.66,0,0,1.38,0,4.96,0,3.35,0
 72-82,0,0,4.54,0,0,1.35,0.72,0,0,1.18,0,0,7.48,0,1.13,0,0,0
 84-94,0,1.71,2.97,0,0.67,0,4.78,0,0,5.14,0,0,4.1,0,8.5,0,0,1.95
 96-106,0,0,8.55,0,0,0,3.05,0,0,0,0,0,1.19,0,6.49,0,0,0
108-118,0,0,0.45,0,1.48,0,13.11,0.61,0,0,0.45,0,7.25,0,12.13,0,0,0
120,0,0,0,0,0,0,13.49,0,1.14,3.44,0,0,0,0,6.31,0,0,1.59
