stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,xanthophores
  3-4,9.79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,6.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.57,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.6,0,0,0,16.18,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,20.08,0.99,2.29,0,0,0,0,0,0,0,0,0,0,0,0,4.1,0,0,2.03,48.02,0,0,0,0,17.95,6.61,0,2.24,13.19,0,0,0,0
 24-34,0,0,0.59,8.82,0,3.13,0.91,0,0,2.4,0,0,0,1.12,0,0,0,0,14.12,0,0,2.29,140.07,0,0,0.64,0,17.47,0,0,1.35,37.29,0,0,0,0
 36-46,0,0,0,4.01,0,15.54,0,0,0,4.68,0,0,0,0,0,0,0,0.61,6.45,0,0,1.31,233.1,2.97,1.09,0.62,0,39.02,0,0,0,65.64,0,0,0,0
 48-58,0,0,0,6.07,0,52.31,0,0.37,0,12.35,0,0,0,0,4.16,0,0,0,13.52,2.42,0,2.25,187.79,2.93,0,3.51,0,21.3,0,0,0,59.86,0,0,0,0
 60-70,0,0,0,16.01,0,77.93,0,0,0,8.31,1.59,0,0,0,0,0,0,0,7.17,0,0.99,0,130.11,0,1.78,0,0,34.89,0,0,0,16.47,0.84,0,0,3.54
 72-82,0,0,0,5.38,0,48.21,0,0,0.61,5.42,0.74,0,0.59,0,0,0.65,0,0,9.46,0,0,1.77,69.01,0,0,0,0,15.82,0,0,0,33.05,0,0,0.56,0
 84-94,0,0,0,8.05,0,60.73,0,0,0,3.58,0,0.6,0.56,0,0,0.65,0,0,5.76,0,0,0,78.57,0,0,0,0,20.34,0,0,0,8.15,0,1.63,0,0
 96-106,0,0,0,0.62,0,40.73,0,0,0,3.63,3.04,0,0,0,0,2.78,0,0.69,12.4,0.81,0,0,66.31,1.35,0,0,0,23.38,0,0,0,4.04,0.8,0,0,0
108-118,0,0,0,6.97,0,27.07,0,1.77,0,3.09,0.7,0,0,0,0,0,0,0,7.8,0,0,0.56,30.94,0,0,0,0,12.3,0,0.54,0,0.65,0.84,0,0,0
120,0,0,0,12.07,0,23.96,0,0,0,2.49,0,0,0,0,0,2.53,3.42,1.55,14.14,0,0,0,85.39,0,0,0,0,2.69,0,0,0,9.21,0,0,0,0
