stage,axial,blastomeres,epidermis,erythrocytes,exocrine_pancreas,eye,glial,gut,immune,ionocyte,lateral_line,liver,melanocytes,mesenchyme,mucous,neural,notochord,paraxial_mesoderm,periderm,pronephros,spinal_cord,vascular_smooth_muscle,vasculature
  3-4,54.46,1049.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90.01,0,0,0,0
  5-6,8.82,153.73,0,0,0,0,0,0,0,0,0,0,0,0,0,7.48,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,4.45,0,0,0,0,0,0,0,0,0,26.72,3.49,4.67,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.58,0,4.98,0,0,0
 14-21,0,0,0.81,1.97,0,0,0,0,0,0,0,0,0,0,0,3.55,0,0,0,1.86,1.22,0,0
 24-34,0,0,0,0,0,0,0,0.64,1.39,0,0,0,0,0,0,1.72,0,0,0,11.26,2.02,0,0.93
 36-46,0,0,0,0,0,0.57,0,0,19.68,0,0.72,0,0,0,0,1.25,0,0,0,5.22,4.16,0,0.6
 48-58,0,0,0,0,0,0.84,1.12,0,2.48,0,0,0,1.31,0,0,6.21,0,0,0,9.11,2.67,0,0
 60-70,0,0,0,0,0,0.63,0,0,0.98,0,1.03,0,0,0,2.11,8.5,0,0,0,4.73,0.87,0,0
 72-82,0,0,0.65,1.36,0,3.07,2.94,1.37,2.52,0,0,1.31,0,0,0,2.27,0,0,2.82,7.62,0,0,0.51
 84-94,0,0,0,2.7,0,1.02,0,1.73,12.33,0,0,4.09,1.35,0,0,31.43,0,0,2.98,23.47,0,2.17,1.8
 96-106,0,0,0,4.65,0,4.62,0,1.49,12.29,0.81,0,5.88,0.69,0,0,26.02,0,0,1.72,19.09,0,0,0.81
108-118,0,0,3.35,0.8,3.72,0,0,3.78,14.4,0,0,10.32,0,3.61,0,20.5,0,0,3.17,33.23,0,0,1.75
120,0,0,0,1.22,0,0,0,6.49,30.33,0,0,1.2,0,7.24,0,25.19,0,0,9.08,21.17,0,0,0
