stage,blastomeres,endocrine_pancreas,endoderm,epidermis,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,immune,ionocyte,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,pronephros,spinal_cord,taste,vasculature,visceral_smooth_muscle,xanthophores
  3-4,167.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,40.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,5.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.6,5.44,0,0,9.34,0,0,0,0,0,0,0,0
 10-12,4.57,0,7.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.58,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,9.84,0,0,0,0,0,1,0,2.36,0,0,0,0,0,0,3.59,0,0,0,0,6.04,0.9,0,1.69,0,0,0,0
 24-34,0,1.68,1.46,6.38,0,0.62,1.38,0,0,2.45,0,1.17,1.37,0,2.54,0,0,0,9.86,0,10.65,5.78,0,29.71,0,0,2.53,0,0,0,0
 36-46,0,0,0,3.97,0,3.41,1.88,0,0,0.56,0,3.42,0,0,0,1.45,0,0,28.93,0,19.69,2.88,0,28.89,0.81,0,0,0,0,0,0
 48-58,0,0,0,2.01,0,4.87,1.11,0,0,0.43,0,0,1.19,0,0,0,0,0,28.57,0,10.88,1.89,0,37.83,0,0,0,0,2.5,0,0
 60-70,0,0.86,0,23.02,0,12.58,5.18,0,0,8.77,0,0,0.67,0,0,0,0,0,33.72,0,19.64,4.04,0,38.25,0,0,2.14,0,0,0,0
 72-82,0,1.48,0,11.93,0,9.51,0,0,0.7,5.73,0,0.49,2.3,0,3.4,0.55,0,0,33.02,0,27.77,5.31,0,16.63,0,0,7.77,0.56,0,0,0
 84-94,0,2.34,0,18.05,0,1.11,3.11,1.37,0,9.75,0.71,6.06,4.21,7.48,5.63,0,0,0,43.89,0,24.05,9.74,0,64.21,0,1.57,0,6.27,0,0.78,0
 96-106,0,6.11,0,37.76,0,12.36,1.21,0,1.19,15.92,1.25,2.57,4.24,0,8.48,14.7,0,0,21.55,0,55.52,12,0,55.51,0,0,0,16.99,0,0,5.1
108-118,0,2.83,0,37.07,3.55,2.03,4.25,0,1.68,20.74,1.19,10.03,6.72,1.8,0,4.6,5.54,0.77,28.47,0,37.71,18.12,0,47.97,0,0.49,0,18.94,4.25,0,0
120,0,2.96,0,45.85,0,6.02,8.28,0,0,29.98,19.94,2.06,11.46,0,0,7.47,0,0,1.37,5.39,51.47,28.95,0,63.92,2.5,0,0,16.86,0,0,0
