stage,blastomeres,endocrine_pancreas,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pronephros,slow_muscle,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  5-6,11.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.06,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.53,0,0,0,3.49,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0.85,1.02,0,0,0,0,0,146.75,0,0,0,0,1.63,5.41,3.86,0,0,0,0,0,0,0,1.37,0,0,0,0,0
 24-34,0,0,1.24,0,0,0,0,0,0,0,1.48,0,0,0,0,0,0,266.77,0,3.11,0,0,0.99,26.91,0,0,0,0,0,1.44,0,0,3.58,0,0,0,0,2.32
 36-46,0,0,0.64,0,0,4.36,0,0,0,0,0,0,0,0,2.49,0,0,194.35,0,4.06,0,0,0,47.3,0,0,0,0,0,0,0,0,3.5,0,0,0,0,0
 48-58,0,0,2.77,0,0,7.78,0,0.52,0,2.2,0,0,0,0,1.15,0,0,189.62,0,0.89,0,0,0,47.07,0,0,0,0,0,0,0,0,12.08,0,0,0,0,0
 60-70,0,0,4.11,1.55,0,21.81,0,0.73,0,1.65,0,4.28,0,0,0,0,0,187.86,0,0.61,0,1.34,0,41.67,0,0,0,0,0,0,0,0,12.33,0,0,0,0,0
 72-82,0,0.58,6.6,12.49,0,66.56,0,1.55,0,14.52,2.78,4.57,1.45,0.64,1.39,0,0,1562.39,0,29.1,2.15,0,1.24,251.71,1.67,3.6,0,0,0,13.34,0,0,16.39,0,1.37,2.36,2.4,3.97
 84-94,0,0,9.26,12.01,2.46,92.71,1.34,0.77,0.89,5.41,9.8,5.83,0,3.44,3.89,3.4,0,5776.9,0,27.19,0,0,5.06,254.79,0,0.71,0.66,0,0,18.12,0,0.59,12.22,4.04,0,3.83,2.46,0
 96-106,0,1.59,76.72,175.38,19.32,318.13,2.38,14.73,5.99,123.22,27.81,0,3.13,21.78,16.39,9.36,7.52,16821.28,22.99,231.07,10.84,8.1,20.38,2040.12,12.48,4.81,6.98,0,5.05,136.85,0.78,1.34,18.23,7.8,13.21,52.92,11.95,32.78
108-118,0,3.44,60.8,56.49,46.8,589.6,8.01,10.33,9.8,111.03,31.75,0,0,19.18,16.34,15.26,3.45,45254.76,11.94,198.47,9.03,11.51,25.23,2372.01,13.48,17,15.97,0,7.3,106.03,5.11,2.51,37.05,14.72,0.5,32.31,1.05,23.52
120,0,0,46.66,44.26,9.33,240.64,3.81,10.34,9.99,154.34,21.38,0,0,10.64,11.36,3.04,2.64,19976.17,0,232.98,0,16.61,7.51,1770.18,8.29,12.13,5.32,0,5.5,53.75,9.54,0,14.17,3.57,19.8,73.66,10.77,15.01
