stage,epidermis,eye,glial,mesenchyme,neural,olfactory,periderm
 14-21,4.25,0,0,0,1.75,0,0
 24-34,0,0,0,0.68,0.75,0,0.62
 36-46,0,0.66,0,0,1.66,0,0
 48-58,0,1.68,0,0.41,0,0,0
 60-70,0,3.2,0,0,1.28,1.02,0
 72-82,0,0,1.45,0,1.02,0,1.51
