stage,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,immune,ionocyte,iridophores,lateral_line,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,olfactory,otic,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
 14-21,1.22,0,0,0,0,0,1.01,0,0,0,0,0,0,2.27,0,0,3.87,10.44,0,0,0,0,2.08,0,0,9.9,21.46,0,0,0
 24-34,0,0,0,0,2.46,0,6.86,0.61,0,0,0,1.91,0,4.17,0,0,6.41,10.74,0,3.2,0,0,0,0.85,9.83,2.36,17.67,0,0,0
 36-46,0.7,0,0,0.58,29.52,1.09,0.64,0,0,0,0,7.19,0,11.15,0,0,1.97,15.8,0,4.65,0,1.74,0,0,20.74,0,17.98,0,0,0
 48-58,0,0,3.16,1.32,21.18,0.43,8.63,0,0,0,0,9.44,0,11.37,0,0,10.51,25.95,1.01,2.98,0,0,0,0,21.46,0,26.6,0,0,0
 60-70,0,0,15.78,7.82,16.1,5.45,54.61,0,0,0,0,6.83,0,29.27,0,0,14.04,21.22,0,3.43,1.9,0,0,0,5.3,0,22.52,1.03,0,0
 72-82,0,0,16.15,10.2,22.93,15,97.66,0,0,0,0.66,15.44,0,67.55,0,2.31,14.57,35.39,0,9.91,2.01,0,0,0.5,1.76,0,16.56,0,3.6,2.17
 84-94,2.83,0,7.53,5.76,34.6,4.49,70.8,0,0,0.61,0.82,13.45,0,54.84,0,2.06,3.82,6.29,0,4.93,0,0,0,0,2.97,0,13.68,0,5.91,0.98
 96-106,2.39,4.4,34.26,18.34,25.18,6.71,98.25,0,1.31,0,1.5,4.33,0.86,62.65,0.92,13.02,21.13,14.14,0,14.92,1.03,1.37,0,0,2.22,0,31.07,2.39,0,9.01
108-118,2.82,0,19.33,18.92,48.39,8.03,127.93,0,0,3.02,9.59,21.76,0,160.78,0.77,15.9,18.84,11.79,0,11.64,3.28,0.78,0,0,4.33,0,8.08,3.26,0,4.32
120,5.06,0,21.37,15.61,26.67,16.69,128.06,0,0,0,0,1.77,0,101.95,0,0,0,43.26,0,23.59,0,1.65,0,0,0,0,24.83,0,1.07,15.79
