stage,blastomeres,endocrine_pancreas,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,13.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.71,0,0,0,3.41,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.54,0,0,0,0,0,0,0,0,0,0
 14-21,0,12.15,2.42,0,0,1.72,0,0,0,0,0,0,0,0,0,0,0,0,0.9,0,0,0,113.67,0,1.84,0,0,0,0,0,0.88,71.46,0,0,0,0,0
 24-34,0,10.43,6.79,0,0,27.12,0,0,0,5.19,0,0,0,0,0,0,0,0,2.08,0,0,1.81,1262.32,1.94,14.01,8.76,0,0,4.56,1.6,0.63,300.13,0,0,0,0,0
 36-46,0,6.21,1.99,0,0,48.94,0,0,0,16.27,0,0,0,0,0,0,0,0,8.62,0,0,2.21,3270.76,0,42.16,2.33,0,0,1.69,0,0,426.1,0,0,0,0,0
 48-58,0,2.01,7.85,0,0,202.05,1.32,12.66,4.98,48.26,0,0,0.49,0,3.18,0.39,1.44,0.7,26.29,0,0,3.9,4741.72,0,24.95,6.92,0,0.73,5.59,9.46,0,463.04,0,0.74,3.36,0,2.78
 60-70,0,0.57,17.62,0.58,0,675.88,0,0,0,108.81,0,8.6,9.39,0,0,0,0,0,35.69,1.14,0,1.59,6031.63,0,16.68,16.29,0,0,8.89,0,0,469.17,0,0,6.25,1.92,16.64
 72-82,0,1.62,40.89,5.13,0,1101.85,0,0,6.13,152.82,0.63,0.58,5.85,0,0.57,4,6.3,6.74,57.06,0,5.39,3.3,5698.13,0,19.27,17.66,0,1.4,8.19,0.68,0,392.19,2.31,2.26,8.68,0,1.68
 84-94,0,1.15,38.11,10.71,0,933.4,1.97,0.68,0,117.02,3.68,0.8,1.99,0,1.97,0,0.83,0,40.8,0,4.79,0.59,3554.88,0,22.99,26.99,0,0,8.12,3,0,286,3.89,1.76,5.7,5.79,0
 96-106,0,0,27.87,12.69,0,924.12,0,1.82,3.19,127.35,1.38,2.21,4.38,0.61,0,8.06,18.56,0,63.92,3.31,26.25,3.13,3295.17,2,35.13,37.27,0,0,19.48,0,0,110.85,3.18,1.16,3.41,8.27,0
108-118,0,2.47,47.35,10.18,0.5,726.06,1.69,4.85,0.73,145.56,0,0.49,1.57,0,2.47,1.54,1.52,0,61.64,0,1.05,4.35,3618.51,0,25.15,29.41,0,6.74,6.75,5.59,0,130.58,0,6.37,14.24,3.42,1.42
120,0,8.73,14.93,10.09,15.97,689.73,0,1.91,12.74,191.57,0,7.42,6.08,0,0,3.84,0,1.51,108.23,0,9.54,4.85,5914.66,0,23.76,49.97,0,19.05,6.26,0,0,204.66,0,0,2.09,23.86,0
