stage,endoderm,epidermis,erythrocytes,eye,fast_muscle,glial,gut,hatching_gland,heart,immune,ionocyte,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,1.97,0,0,0,4.25,0,0,0,1.31,24.04,4.62,3.02,0,0,0
 24-34,0,0.64,0,0,0,0.86,1.85,0,0,0,0,0,1.23,0,0,6.82,9.9,0,0,0,0,0,39.82,0,0,0,0,0
 36-46,0,1.82,0,0.66,0,1.59,0,0,0,0,0,7.64,0,0,0,0,3.34,0,1.01,0,0,0,62.67,0,0,9.07,0,0
 48-58,0,0,0,2.57,0,0,0.43,0.49,0,0,0,0,0,0,0,0,13.31,0,0.63,0,0,0,26.62,0,0,3.09,0,0
 60-70,0,0,0,130.91,0,2.11,0,0,0,0,0,1.35,0,0,0,0,2.59,0,0,0,0,0,10.79,0,0,11.2,0,0
 72-82,0,0,4.09,490.44,0,5.64,0.53,0,0,0,0,0,0,7.28,0,0,26.8,0,0.52,0,0,0,15.1,0,0,8.93,1.34,0
 84-94,1.01,0.57,0,604.1,0.56,0,0,1.23,0,0,0,1.67,0,0,2.38,0,13.65,0,0.95,0,0.72,0,34.2,0,0,14.41,0,0
 96-106,0,1.42,4.69,551.96,0,2.46,0.64,0,0,0,0,0,0,10.19,0,1.37,18.69,0,3.55,0,0,0,33.14,0,0,11.19,0,0
108-118,0,0.93,0,493.15,0,2.66,0,0,0.89,0,0.42,2.32,0,6.61,0,0,16.44,0,0,1.36,0.86,0,35.33,0,0,6.96,0,3.26
120,0,1.45,0,568.25,0,0,0,0,0,4.42,0,0,0,0,0,0,30.82,0,2.49,0,0,0,24.53,0,0,14.15,1.52,0
