stage,axial,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,periderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  5-6,10.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,2.44,8.06,1.87,2.5,0,0,0,0,0,0,0,0,0,0,1.05,3.45,0,0,7.84,32.83,0,0,1.04,7.11,1.13,6.66,6.75,0,0,0,0,0
 24-34,0,1.52,1,2.07,1.21,2.64,0.83,0,0,0,3.19,0,0.79,0,0,0,0,2.44,0.61,0,0,22.64,1,0,1.08,13.43,0,0.66,3.02,0,0,8.98,0,0
 36-46,0,0,0,2.5,0,5.24,0,0,1.92,0,0,0,0.77,0,0,2.66,0,4.76,0,0,0,99.63,0.56,2.45,1.06,8.97,0,0,22.78,0,0,0,0,8.91
 48-58,0,0,0,2.34,0,19.66,0,0.45,1.91,0,0,0,0,0,0,0,0.86,3.09,0,0,2.14,82.33,0,1.85,0.42,1.56,0,0,18.71,0,0,1.01,0,0
 60-70,0,0.57,0,0.9,0,43.77,0,0.62,0,2.09,0,0,0,4.76,0,0,0,34.23,0,0,1.76,136.18,0,1.44,0,0.71,0,0,14.13,0,0,0,0,0
 72-82,0,0.95,0,3.84,0,66.63,0.8,0,5.88,0.71,0,3.14,0.52,0,3.45,0,0,12.53,0,2.32,0,138.54,1.43,2.85,2.37,2.89,0,0,14.06,0,1.75,0,0,0.55
 84-94,0,0,0,2.77,0,17.93,0,0.6,9.75,0,0,0,2.89,7.42,1.39,2.8,0,10.03,0,0,0.71,108.85,0,0,5.97,3.28,0,0,9.71,2.05,0.68,3.68,0,0.8
 96-106,0,2.6,0,2.12,0,30.19,0.82,0,9.35,6.55,0,0.62,0.99,0.85,0,0,0,3.3,0,0,1.19,75.66,0,18.88,3.3,10.71,0,0,1.5,0,0,0,0.76,0
108-118,0,0.52,0,2.2,4.88,58.17,0,2.9,7.03,0.42,0,1.3,4.34,0,1.06,1.87,0,4.46,0,0,0.42,124.02,0.45,4.3,3.49,6.97,1.91,0,0,0,1.04,1.23,4.49,0
120,0,0,0,4.96,5.07,26.03,0,0,4.04,3.07,0,0,0,2.67,12.82,9.58,0,14.64,2.27,0,3.32,142.42,0,4.21,6.01,10.17,1.04,0,0,0,0,7.6,2.54,0
