stage,axial,blastomeres,epidermis,eye,fin_mesenchyme,glial,gut,heart,ionocyte,iridophores,lateral_line,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pronephros,spinal_cord,vasculature
  3-4,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.56,25.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.34,0,0,0,3.32,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.38,0,0,0,0,0,0,0,0
 14-21,0,0,1.78,0.88,0,2.21,0,0,0,0,0,1.05,0,0,0,11.91,0.95,1.23,0,0.8,0,0,3.53,0
 24-34,0,0,2.87,5.28,1.24,0,0,0,0,0,0,0,3.31,0,0.63,44.11,0,0,0,1,0.67,0.69,14.77,0
 36-46,0,0,0,5.16,0.81,1.41,0,0,2.47,0,0,0,2.12,0,0.66,43.17,0,0,2.64,0,0,0,8.33,0.65
 48-58,0,0,0.37,20.25,0,2.37,0,0.69,0,0,0,0,4.5,0,2.32,26.99,0,0,0,0,0,0,2.85,0
 60-70,0,0,2.96,10.97,0,1.42,0,0,0,0,0,0,13,2.57,0,38.95,0,0,0,0,3.78,0,4.24,0
 72-82,0,0,0,3.11,0,1.44,0,0,0,0.54,0,0,3.27,1.11,0,7.39,0,0,0,0,1.12,0,3.9,1.04
 84-94,0,0,0,6.15,0,1.23,0,0,0,0,0,0,0.83,0,0,1.23,0,0,0,0,0,0,0.95,0
 96-106,0,0,0,2.56,1.14,0.68,0,0,0,0,0.94,0,1.31,0,0,6.45,0,0,1.19,0,3.57,0,0,0
108-118,0,0,0.61,5.79,0,2.46,0.69,0,0,0,0.72,0,2.24,0,0,17,0,0,0,0,0,0,0.96,0
120,0,0,0,0,0,7.92,0,0,0,3.12,0,0,2.92,0,0,17.11,0,0,0,0,0,0,0,0
