stage,axial,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  7-9,5.41,0,0,0,0,13.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82.12,0,0,0,10.36,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,13.48,0,0,0,0,0,3.5,0,0,0,0,0,0,0,0,0,0,135.07,0,0,0,5.39,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,2.07,21.94,2.99,57.93,0,0,0,2.64,0.85,0,0,0,0,0,0,0,0,12.56,0,6.2,433.33,5.23,0,0,2.8,0,0,6.62,0,3.52,38.32,0,0,0,0,0
 24-34,0,2.36,0,9.81,1.5,47.36,0,0,0.61,3.66,0,0.74,5.1,0,0,0.7,3.2,0,0,71,0.89,33.83,880.83,2.67,4.85,7.95,0,0,3.18,0,5.27,2.19,89.87,0,0,3.64,0,1.45
 36-46,0,0,0,19.74,5.85,44.16,3.05,3.04,1.96,16.18,0,0,3.33,0,0,0,1.33,0,0,116.05,3.8,52.26,934.92,4.43,0.62,5.82,0,0,10.98,0,0,0,130.73,0,0,0,0,3.54
 48-58,0,0,0,8.12,4.71,255.36,0,3.04,12.82,47.48,0,0,7.18,0,0,0,0.45,7.53,0,205.38,6.82,31.61,1069.19,1.66,0.85,13.11,0,1.18,3.35,0,8.19,0,184.79,0,0,1.23,0,2.26
 60-70,0.81,0,0,2.62,2.26,298.4,1.83,1.77,2.71,71.71,0.71,0,12.38,0,0,0,0.66,0,0,202.43,7.79,22.38,783.57,0.66,0.89,4.74,0,3.86,10.63,0,8.09,0,128.94,0,5.36,1.83,0,5.63
 72-82,0,0,0,8.43,0,245.18,0.57,0.51,23.78,65.21,0.56,0,4.55,0,0,8.31,1.59,0,0,261.7,5.49,17.55,791.21,1.47,0,10.29,0,2.24,0,0,0,0,69.46,3.44,6.41,5.86,3.28,10.92
 84-94,0,0,0,7.78,0.76,175.75,3.58,0.78,6.47,46.4,0,0,5.56,0.65,0,4.84,5.14,0,18.84,174.74,11.16,12.45,463.69,0,0,19.59,0,0,8.27,0,1.43,0,68.66,3.74,8.74,1.76,10.69,12.16
 96-106,0,0,0,6.82,0,200.35,1.64,0,8.48,63.9,1.38,0,0.78,1.28,0,11.17,1.69,0,0.65,139.82,10.95,11.01,572.52,0,6.32,13.37,0,0,5.2,0,5.77,0,15.31,6.71,5.07,5.03,15.7,11.88
108-118,0,0,0,11.5,0,168.97,1.64,1.1,4.13,29.37,0.71,0,3.6,0.68,1.18,13.95,1,0,0,132.07,8.96,15.54,514.72,0,2.19,20.45,0,1.65,4.63,0,0,0,12.26,8.08,1.53,5.94,11.79,16.64
120,0,0,1.28,15.98,2.94,230.59,0,0,0,73.83,1.46,0,0,0,0,24.88,0,0,0,121.72,22.06,9.53,859.3,6.07,6.4,19.62,0,11.71,0,0,0,0,69.51,12.58,2.93,30.47,11.52,9.77
