stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,38.15,692.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95.14,0,0,0,0,0,0,0,0,0
  5-6,67.1,1062.23,6.55,0,0,0,0,0,0,0,0,0,26.83,0,0,0,0,0,0,0,0,0,0,65.4,8.7,0,0,40.43,0,0,0,0,0,0,0,0,0,0
  7-9,26.65,15.55,34.54,0,0,0,19.63,0,0,0,0,0,57.51,0,0,0,0,0,0,0,0,0,0,527.98,24.44,0,0,172.56,0,0,0,0,0,0,0,0,0,0
 10-12,0,17.92,24.35,0,4.67,0,12.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,410.86,0,0,0,165.8,0,0,33.04,0,0,0,0,0,0,0
 14-21,0,0,1.95,13.58,2.59,0,1.87,0,0,0,0.98,0,0,0,0,0,0,0,0,4.11,0,0,2.93,37.45,4.22,0,1.53,0.85,4.34,4.04,0,3.88,17.18,0,0,0.98,0,0
 24-34,0,0,0,0,0,0,4.69,0,0.68,0.72,1.46,0,0,0,0,0,0,0,0,3.45,0,0,0,51.56,0.67,0,0,0,5.54,0,0.7,2,10.4,0,0,5.65,0,0
 36-46,0,0,0,0,0,0,22.94,0,0,0,5.07,0,0,0,0,0,0.6,0,0,9.25,0.87,0,2.72,56.47,0.6,0.6,0,0,9.11,0,2.78,0,18.21,0,0,0.87,0,0
 48-58,0,0,0,3.29,0,0,50.13,0,0.81,1.52,11.73,0,0,1.43,0,0,0,0,0,11.87,0,0.89,1.93,48.23,0,0.91,0,0,0.49,0,0,0,9.42,0,0,0.41,0,0.67
 60-70,0,0,0,4.78,0,0,30.96,0,0.9,0,6.64,0,0,0,0,0,4.48,0,0.93,10.86,0,0.7,0.93,20.38,0,0,0,0,15.77,0,0,0,2.32,0,0,3.82,0.87,0
 72-82,0,0,0,5.66,2.27,0,4.45,0,0,1.16,3.66,0,0,0,0,3.43,0,0,0,13.67,0,0,1.73,13.94,0,0,2.4,0,12.8,0,0,0,0,0,1.38,3.85,0,0
 84-94,0,0,0,4.12,0,0,14.67,0,1.69,0.87,3.95,0,0,0,0,0,0,5.48,0,18.99,2.02,0,0,12.43,0,1.04,2.01,0,16.07,0,0,0,2.2,0,0,1.67,4.54,0
 96-106,0,0,0,3.4,15.08,0,3.14,0,0.59,0.59,19.66,2.16,0,0,0,0,0,0,0,20.31,1.34,11.35,0.63,8.08,0,0,0,0,10.36,0,0,0,0,0,0,3.55,0,0
108-118,0,0,0,3.12,1.47,0.5,11.41,0,1.38,0.8,4.71,1.12,0,1.15,1.89,0,0.6,1.31,2.36,9.13,0.6,1.62,0,12.67,0,0,1.86,0,7.23,0,1.87,0,0,0.42,0.92,1.61,0,0
120,0,0,0,11,17.67,0,30.14,1.95,1.33,0,0,1.74,0,2.3,7.56,0,0,13.6,0,31.66,0,0,2.4,11.17,0,2.4,0,0,10.56,0,1.2,0,0,0,2.09,3.78,4.27,0
