stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  5-6,6.94,14.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,4.71,6.65,0,0,0,0,0,12.51,0,0,0,0,9.43,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,27.82,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,10.84,0,8.07,0,12.76,0,55.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,306.95,0,0,0,99.07,0,0,0,8.47,0,19.3,5.09,0,0,0,0,0
 14-21,0,0,0,2.85,69.78,16.61,0,8.4,0,0,48.6,0,0,2.91,0,4.72,0,0,0,0,109.96,0,0,173.35,163.27,0,0,0,9.35,0,5.67,4.87,10.05,63.85,204.24,69.54,0,0,1.01,0,1.55
 24-34,1.76,0,0,4.18,123.65,4.35,0,33.69,7.75,0,60.3,0,0,52.11,0,3.16,0,1.63,0,1.98,182.72,1.24,0.89,141.17,236.84,0,0,2.4,0,4.1,1.9,0.93,10.08,11.63,12.41,70,0,0,4.53,0,4.49
 36-46,0,0,0,0,46.43,5.85,0,27.8,5.28,0,30.68,0,0,43.21,0,0,0.56,0,0,27.64,208.08,0,18.2,43.45,104.51,0,0.6,0.71,0,0,16.45,0,1.34,22,1.39,37.2,0,0.62,6.61,0.78,11.47
 48-58,0,0,0.42,0,21.27,0.61,0,43.54,7.11,3.15,9.61,0,0,21.46,0,0,0.9,2.37,0,22.49,224.23,0,14.97,23.71,80.58,0,0.76,1.14,4.77,9.19,0.58,0,12.74,6.61,0,24.07,0,0,4.72,1.15,15.72
 60-70,0,0,0,0,70.48,0,0,87.91,3.38,5.73,10.16,0,0,7.22,0,0,4.14,2.89,1.35,11.25,340.42,0,15.51,6.25,71.53,0,2.83,0,0,5.56,13.87,0,0.63,12.2,0,4.08,0,1.9,1.67,1.86,25.45
 72-82,0,0,0,0,16.97,0,0,84.31,14.69,9.18,17.63,2.13,0,3.28,0,2.21,5.97,8.3,0,11.05,449.36,0,27.13,11.36,94.31,0,4.65,2.77,0,3.9,3.78,0,0.97,6.72,0,1.86,0,1.97,16.69,7.24,23.29
 84-94,0,0,0,0,30.78,3.23,0,134.02,3.06,11.09,22.12,5.22,0,1.55,2.16,0,15.14,11.57,10.67,9.8,386.31,0.59,32.48,13.88,38.48,0,1.1,2.22,0,15.47,5.18,0,1.48,3.36,0,14.21,1.37,2.97,6.59,5.5,7.34
 96-106,0,0,0,0,47.9,5.55,0.97,99.96,13.59,5,34.09,3.24,0,6.93,0,0,12.47,8.98,0,2.53,247.55,3.03,31.51,7.06,92.95,0,5,11.24,2.41,11.34,7.57,0,3.96,1.19,0,11.13,0.63,6.96,7.1,23.11,17.23
108-118,0,0,0,0,56.33,2.63,0,135.92,20.23,4.22,14.41,1.79,0,0.93,1.11,1.4,26.55,8.12,0.49,26.36,260.71,1.01,16.96,17.25,65.06,0,5.36,3.13,0,31,3.02,0,0.47,5.84,0,0,5.13,5.88,11.05,16.88,10.17
120,0,0,0,0,59.98,10.57,0,122.46,21.6,2.8,10.15,3.37,0,6.72,5.77,0,8.09,0,0,3.89,314.03,0,25.55,18.66,89.97,7.14,2.93,14.73,0,32.38,2.92,0,0,1.63,0,6.18,1.27,0,15.55,57.22,0
