stage,blastomeres,epidermis,erythrocytes,eye,glial,gut,hatching_gland,heart,ionocyte,iridophores,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
  3-4,49.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,6.15,0,0,0,0,0,0,0,0,5.18,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0.83,0,0,0,0,0,0,0,0,0,0,0,0,2.88,0,1.19,0,0,0,3.09,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0.75,0,0,0,3.07,0,0,0,0,1.6,0,0.66,0,0,0,0
 36-46,0,0,0,0,0,0,0,0,0,0,0,1.45,0,0.56,0,8.23,0,0,0,0,0.94,0,3.22,0,0,0,0
 48-58,0,0,0,1.54,0,0,0,0,0,0,0,1.13,0,3.51,0,10.35,0,0,0,0,4.78,0,0,0,1.69,0,0
 60-70,0,0,0,3.8,1.93,0,0,0,0,0,0,7.95,0,32.16,0,7.17,0,0,0,0,3.18,0,0,0,19.23,0,21.49
 72-82,0,0,0,9.3,7.14,0,0,0.66,0,0,0,9.27,0,29.4,4.69,15.11,0,0,0,0,0,0,0,0,23.92,0,84.83
 84-94,0,3.74,0,9.93,0.66,0,0,0,0,0,1.05,4.03,0,15.51,7.29,8.82,0,0,0,1.55,3.26,0,0,0,22.39,0,126.56
 96-106,0,0.6,2.12,18.16,7.56,0,0,0,0,0,0,0.59,0,17.52,2.42,7.2,0,0,1.52,0,2.11,0,0,1.26,28.04,1.04,172.89
108-118,0,0.45,0,39.89,0,1.1,0,0,0.84,1.44,0,9.11,0.6,7.51,1.7,17.16,0.57,0,0,0,8.87,0,0,0,43.37,1.73,134.12
120,0,6.72,0,35.48,3.99,0,0,0,1.63,0,0,4.65,0,15.97,0,45.3,0,0,0,2.63,4.77,0,0,0,29.36,0,137.72
