stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,immune,mesenchyme,mural_cell,muscle,neural,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pronephros,somites,spinal_cord,vascular_smooth_muscle,vasculature
  5-6,9.55,21.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.92,0,0,8.9,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,4.71,0,0,0,0,0,0,0,0,33.89,0,0,0,0,0,0,3.24,0,0,0
 14-21,0,0,0,0.93,2.42,0,17.51,0.87,0,6.32,0,0,0,0,0.91,153.52,3.36,0,0,0,0,0,0,76.87,0,0
 24-34,0,0,1.61,0,0,0,71.47,0,0,0.67,0,0,0,0,0,152.19,5.54,0,0,0,2.19,0,0,28.61,0,0
 36-46,0,0,0,0,1.3,0,32.37,0,0,3.07,0,0,0.66,0,0,136.29,3.5,0,0,0,0,0.62,0,30.63,0,3.3
 48-58,0,0,0.54,0,0,0,77.16,0,0.67,9.04,0,0,8.23,0,0,98.78,2.3,0.6,0,0,2.59,0,0,13.45,0,0
 60-70,0,0,0,0,0,0,54.35,0,3.73,6.65,0,3.4,6.1,0.98,5.92,129.13,1.48,0,0,0.66,0,0,0,3.11,0,2.1
 72-82,0,0,0,0,5.58,0,49.53,1.55,6.08,19.85,0,0,14.93,0,0,149.03,0.74,0,0,4.12,0,0,0,2.51,2.49,2.97
 84-94,0,0,0,0,1.34,0,66.97,0,5.77,17.74,0,0,26.16,0,0,140.61,0,0.56,0,4.13,0,1.79,0,6.26,0,1.71
 96-106,0,0,0,0,0,0,35.03,0,6.54,19.72,1.06,0.66,16.17,0,0,72,0,0,0,1.94,0,0,0,4.52,0,2.32
108-118,0,0,0,0,0.93,1.01,56.6,0,10.99,18.44,0,3.65,28.82,0.63,0,155.07,1.74,1.81,0,0,0,0,0,1.73,0,8.47
120,0,0,3.99,0,0,0,37.31,0,9.27,2.93,14.77,3.09,5.26,0,5.39,278,0,1.47,0,0,0,0,0,25.65,0,13.21
