stage,blastomeres,endocrine_pancreas,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,32.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,48.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.03,0,0,0,5.36,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,12.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70.34,0,0,0,31.96,0,4.24,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,1.88,0,0,0.93,0,1.76,0,0.97,0,0,0,0,0,0,0,0,3,0,1.88,40.53,0,0,0,0,0,0,3.6,0,0.88,2.05,6.32,0,0,0,0,0
 24-34,0,0,0,0,0,4.62,0,0.78,0,2.06,0,0,0,0,0,0,0,0,5.45,0,1.28,134.86,0,1.48,0,0,0,1.23,0,0,0,2.71,24.59,0,0,6.31,0,0
 36-46,0,0.98,0,0,0,8.34,0,1.38,0,3.08,0,2.37,0,0,0,0,0,0,6,0,1.22,293.29,0,0,0,0,0,5.31,0,0,1.56,0,70.64,0,0,17.62,0,0
 48-58,0,0,2.65,0,0,110.16,0,6.44,0.78,9.5,0,1.6,0,0,0,0,1.49,0,10.33,0,6.92,546.84,0,2.29,1.73,0,5.19,5.7,0,0,6.01,0,79.28,0,0,0.95,0,1.62
 60-70,0,0,2.54,0,0,392.71,0,0,2.5,23.78,0,0.7,0,0,0,1.57,1.34,0,22.3,0.95,1.49,937.12,0,5.49,1.63,0,0,7.36,0,0,4.76,0,150.43,0,0.63,3.55,0,5.39
 72-82,0,0,17.32,4.28,0,273.42,1.1,0.74,10.04,35.87,0,0,2.27,7.86,0,0.84,0.96,0,74.26,0,7.58,911.97,1.09,7.5,2.71,0,0,3.75,0,0,3.02,0,121.24,1.32,1.16,4.43,0.96,0
 84-94,0,0,8.84,16.42,0,204.62,0,8.46,5.7,38.98,0,0,0,0,0.61,0,0.58,0,67.5,1.87,2.87,560.96,0,1.54,3.1,0,0,4.66,0,0,11.15,0,115.31,0,2.08,25.82,0,0
 96-106,0,0,16.98,11.22,0.89,255.59,1.98,3.94,4.3,43.07,2.15,5.94,0,0.74,0,0,3.96,0.71,83.29,2.3,4.13,545.11,0,3.92,4.8,0,0,13.15,0,0,11.29,0,42.49,0,2.74,11.61,0,0
108-118,0,1.39,14.63,9.78,2.85,244.34,4.02,5.76,6.85,95.05,2.45,6.53,2.6,2.36,5.15,0,0.75,0,83.83,3.83,18.19,736.64,1.48,4.55,2.02,0,3.62,13.05,0,1.03,12.41,0,39.86,2.64,6.21,32.65,0,1.73
120,0,0,24.01,1.28,0,360.48,10.85,8.02,0,144.04,5,4.85,14.89,0,0,0,2.26,0,243.02,0,46.34,1832.17,6.26,2.49,15.85,0,7.06,16.62,0,1.2,4.96,0,121.6,1.37,0,31.64,3.44,0
