stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,446.7,5304.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,234.68,0,0,0,0,0,0,0,0,0,0,0
  5-6,213.4,2720.41,0,10.68,0,0,0,0,0,0,0,0,0,9.89,0,0,0,0,0,0,0,0,0,0,79.21,0,0,0,22.98,14.72,0,0,0,0,0,0,0,0,0,0,0
  7-9,19.59,37.67,0,39.5,0,0,0,69.3,0,0,0,0,0,33.36,0,0,0,0,0,0,0,0,0,0,831.26,12.04,0,0,275.82,4.89,41.51,0,0,0,0,0,0,0,0,0,0
 10-12,0,71.79,0,15.53,0,0,0,39.87,0,0,0,0,0,9.1,0,0,0,0,0,0,0,0,0,0,982.28,24.22,0,0,165.18,5.07,14.27,0,31.21,0,5.05,12.58,0,0,0,0,0
 14-21,0,0,1.38,3.63,47.66,12.22,0,14.65,0,0,0,23.19,0,0,0,0,0.91,0,0,0,9.45,0,0,14.15,471.38,0.98,4.05,1.05,11.62,7.79,0,22.07,12.86,0,18.97,152.65,0,0,2.86,0,0
 24-34,0.88,0,1.55,3.73,16.36,13.89,0,107.01,0,2.92,0.84,18.4,0.65,0,1.82,0,2.26,0,2.37,0.84,57.73,0.91,0,22.54,898.88,2.92,14.95,7.86,0,30.81,0,0,5.39,0,7.52,178.41,0,0,13.38,0,0.68
 36-46,0,0,0,0,4.86,1.1,0,232.63,0,0.93,0,28.26,0,0,0,4.05,2.43,0.56,0.71,1.24,35.63,0,0.8,16.42,587.19,0,4.74,2.48,0,9.47,0,0,5.89,0,0.8,110.96,0,0,1.47,0,0
 48-58,0,0,0,0,8.6,2.42,0,330.49,3.72,0,0.51,12.29,0,0,1.1,0.37,0,3.19,1.76,0,53.3,0,1.99,11.08,261.47,4.6,1.93,1.49,0,6.57,0.56,0,10.44,0,0,50.81,0,0,3.48,0,0
 60-70,0,0,0,0,22.17,0,0,348.87,0,0,2.02,24.5,3.15,0,0,4.2,0,0,0,3.44,33.51,0,5.76,8.95,304.91,0,2.53,0.68,0,2.45,0,0,0,0,0,31.13,0,0,2.84,0,3.56
 72-82,0,0,0.56,0,3.59,1.65,0,211.56,0,0,0.64,26.36,2.94,0,0,1.44,0.75,0,0.65,4.21,57.4,0,2.69,5.9,313.33,6,3.09,3.2,0,1.06,0,0,0,0,0,13.08,0,0.5,0.51,0,0.55
 84-94,0,0,0.8,0,9.83,2.81,0,202.8,0,0,5.8,19.19,7.52,0,0,3.18,1.08,1.96,0.56,12.9,47.32,0,4.18,7.3,232.88,1.16,8.03,5.84,0,4.83,0,0,1.19,0,0,5.88,1.09,0,3.32,0,0
 96-106,0,0,0,0,10.01,5.76,0.8,123.89,0,0,1.09,23.8,1.84,0,0,4.69,1.94,0.92,0,1.2,43.87,0,1.51,2.69,182.28,0,11.25,6.99,0,6.13,0.64,0,5.8,0,0,9,0,0,2.6,0,2.53
108-118,0,0,0,0,6.33,6.51,0,158.69,0.66,0.42,0.65,24.09,1.39,0,0,6.51,0,0.93,2.67,7.92,28.3,0,0,2.93,275.43,0.61,4.2,2.23,0,3.83,1.06,0,0,3.63,0,8.9,4.46,0.96,8.98,2.03,0
120,0,0,0,1.28,8.68,6.48,0,205.12,0,1.42,0,45.67,0,0,0,8.96,0,1.11,0,3.92,35.02,1.49,8.06,6.54,406.49,0,0,1.5,0,10.17,0,0,0,0,0,17.94,0,0,1.51,0,0
