stage,blastomeres,endocrine_pancreas,epidermis,erythrocytes,eye,fin_epithelia,glial,gut,hatching_gland,immune,ionocyte,iridophores,lateral_line,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pronephros,slow_muscle,spinal_cord,taste,vasculature,visceral_smooth_muscle,xanthophores
  3-4,11.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,24.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,13.61,0,0,0,0,0,0,0,7.87,0,0,0,0,0,0,0,0,31.72,0,0,0,14.91,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.67,0,0,0,26.63,0,3.39,0,0,0,0,0,0
 14-21,0,0,11.92,0,0,0,0.99,0,0,0,0,0,0,1.03,0,0,0,4.65,0,0,0,0,16.42,0,0,2.23,0,0.89,0,0
 24-34,0,0,1.93,0,0,0,0,0,0,0,0.94,0,0,1.91,0,0,0,32.55,0.67,0,0.99,0,48.9,0,0.66,6.46,0,0,0,0
 36-46,0,0,4.07,0,1.48,0,1.52,0,0,0,0,0,0,0,0,0,0,26.56,0,0,0,0,71.2,0,0,1.96,0,0,0,0
 48-58,0,0,3.65,0.41,3.31,0,1.95,0,0,0,0.37,0.39,0,2.1,0,0,0.7,42.83,0,1.96,0,0,30.6,0,0,7.57,0,0,0,0
 60-70,0,0,7.25,0,34.67,0,4.58,0,1.71,0,0,0,0,1.38,0.73,0,0,87.24,0,2.15,0,0,38.91,0,0,5.43,0,0,0.59,2.91
 72-82,0,0,7.7,0,8.01,0,2.33,1.01,0,0,0,0.65,0,0,0,0,0.73,19.69,0,0.7,0,0,24.5,0,0,0,4.15,0,0,0
 84-94,0,0,15.34,0,1.12,1.69,0,0.57,0,0,3.87,0,0,0.86,0.57,0.65,0,19.28,0,0,0,0,34.23,0,0,2.96,0.62,0,0,0
 96-106,0,1.41,30.69,0,3.26,0,6.98,3.01,0,1.62,0.66,0,0,3.65,0,0,0,14.49,0,1.82,0,0,55.17,0,0,1.02,0.83,0,1.67,0
108-118,0,0,27.94,0,8.86,3.72,1.07,9.21,0,0,1.51,0,1.29,5.54,0,0,0,19.92,0,0,0,0,45.05,0,0,0,0.89,0,0,0
120,0,0,19.91,0,4.04,0,0,7.97,0,0,0,1.11,0,2.87,0,0,0,38.37,0,0,0,0,28.54,0,0,0,5.02,0,2.63,0
