stage,axial,blastomeres,epidermis,erythrocytes,eye,fin_epithelia,gut,heart,lateral_line,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,periderm,pgc,spinal_cord,vasculature
  3-4,0,90.15,0,0,0,0,0,0,0,0,0,0,0,0,0,20.16,0,0,0
  5-6,10.36,163.96,0,0,0,0,0,0,0,0,0,0,8.55,0,0,0,0,0,0
  7-9,4.89,0,0,0,0,0,0,0,0,0,0,0,7.27,6.92,0,0,0,0,0
 10-12,0,0,0,0,20.63,0,0,0,0,0,0,0,24.08,0,0,0,5.85,0,0
 14-21,0,0,1.84,1.05,0,0,0,1.45,0,1.16,0,2.07,2.75,0,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,2.96,0,0,1.74,0,0,0,0,0.69,0.78
 36-46,0,0,0,0,0,0,0,0,0,1.17,0,0,0,0,0,0,0,0,0.8
 48-58,0,0,0,0,0,0,0,0,0,2.05,0,0,0.54,0,0,0,0,1.1,0.5
 60-70,0,0,0,0,0,0,0,0,0,0,0.67,0.76,0,0,0,0,0,0,0
 72-82,0,0,0,0,0.93,0,0,0.8,0,2.56,2.51,0.84,4.17,0,0,0,0,2.38,0
 84-94,0,0,0,0,0.84,0,0,0,0,2.06,0,0,1.25,0,0,0,0,7.07,0
 96-106,0,0,0,0,0,0.58,0.77,0,0,6.34,0,0,0,0,0.57,0,0,0,0
108-118,0,0,0,0,0,0,0,0,0.47,7.95,4.53,0,3.82,0,0,0,0,0,0
