stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fin_epithelia,glial,gut,heart,immune,ionocyte,mesenchyme,mucous,mural_cell,muscle,neural,notochord,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vasculature
  3-4,12.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,33.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,4.04,0,0,0,0,0,0,0,0,0,0,32.8,0,0,9.47,3.26,0,0,0,0,0,0
 10-12,0,0,0,0,4.85,0,0,0,0,0,0,0,0,0,0,67.18,0,0,6.68,0,0,0,0,0,0,0
 14-21,0,0.93,2.45,1.94,0,0,0,0,0,0,1.16,0.96,0,0,2.54,18.05,0,0,0,1.31,3.38,0.86,7.02,5.42,0,0
 24-34,0,0,0.78,0,0.62,0,0,0,0,0,0,2.05,0,0,0.67,8.63,0,0,0,12.13,0,0,0,5.12,0,0
 36-46,0,0,0,0,2.32,0,0,0,0,0,0,2.37,0,0,0,29.35,1.29,0,0,34.95,0,3.75,0,1.82,0,0
 48-58,0,0,6.99,0,5.99,1.58,0.58,0,0,0,0,0.64,0,0,1.73,10.07,0,0,0,23.07,0,0,0,2.93,0,0
 60-70,0,0,0.88,0,0.69,0,0.66,0,0,0,0,2.32,0,0,0,12.17,0,0,0,16.55,0,1.66,0,6.71,0,0
 72-82,0,0,1.63,0,5.43,0,0,0.59,0,0,0.83,0.52,0,0,0,15.46,0,0,0,17.65,0,0,0,0,0,0.5
 84-94,0,0,6.16,0,2.41,0,1.12,0,0,0,0.8,0,1.67,0,0,2.37,0,0,0,78.79,0,0,0,0.89,0,0
 96-106,0,0,6.79,0,0,0,6.23,0,1.02,0,1.77,0,0,0.78,0.71,4.73,0,0,0,70.36,0,0,0,0,0,0
108-118,0,0,5.46,7.57,3.04,1.08,0,0.59,0,0,0.6,0,0,0,0,5.91,0,1.09,0,57.37,0,1.07,0,2.5,0.68,0
120,0,0,14.3,0,0,1.09,4.81,0,0,7.91,7.45,2.39,1.46,0,0,13.32,0,1.8,0,59.2,0,1.58,0,0,0,0
