stage,blastomeres,endocrine_pancreas,epidermis,eye,fin_mesenchyme,glial,gut,lateral_line,melanocytes,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,slow_muscle,somites,spinal_cord,vasculature
  3-4,16.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,2.71,0,0,1.51,0,0,0,1.46,1.9,35.95,3.81,0,0,3.1,0,7.34,1.92,2.9,7.27,0
 24-34,0,0,2.63,3.15,0,2.63,0,0,0,2.43,0,29.61,0,0.61,0,0,1.48,0,0,0.62,4.99,0
 36-46,0,0,0,0.97,0,0.71,0,0,0,2.05,1.59,25.53,0,0,0,0,2.47,0,0,0,8.97,0
 48-58,0,0,1.26,2.77,0.39,2.81,0,0,0.78,1.97,0.88,8,0,0,0,0,0,0,0,0,5.1,0
 60-70,0,0,0,1.09,0,2.8,0,0.84,0,4.87,1.04,21.54,0,0,0,0,0,0,0,0,8.2,0
 72-82,0,0,0.56,2.7,0,3.27,0,0,0,11.92,0.85,4.44,0,0,0,0,0,0,0,0,2.2,2.66
 84-94,0,0,0.57,0,0,9.34,1.01,0,0,4.11,1.99,7.78,0,0,0,0,0,0,0,0,0,0
 96-106,0,0,1.07,0.64,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
108-118,0,0.79,0,0,0,3.38,0,0,0,1.19,1.77,2.91,0,0,3.19,0,0,0,0,0,0,0
120,0,0,0,4.24,0,0,0,0,0,3.07,0,0,0,0,0,0,0,0,0,0,0,0
