stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,heart,lateral_line,mesenchyme,mural_cell,muscle,neural,olfactory,otic,paraxial_mesoderm,periderm,spinal_cord,vascular_smooth_muscle,visceral_smooth_muscle
  3-4,0,63.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.81,0,0,0
  5-6,7.8,28.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.33,0,0,0,0
 14-21,0,0,0,0,0,0,0.97,0,0,0,0,0,0,0,0,0,0,6.58,0,0,1.04,0,0
 24-34,0,0,0.6,0,0,0,0,0,0,0,0,0.91,3.08,0,1.74,4.69,0,84.73,0,0,0,0,0
 36-46,0,0,0,0,0,0,0,0,0,0,0,3.34,3.56,0,0.56,5.7,0,63.47,0,0.58,2.32,0,0
 48-58,0,0,0,0,0,0,2.58,0,0.41,0,0,7.63,10.64,0,1.02,14.24,0.39,73.7,0,0,0,0,0
 60-70,0,0,0,0,0,0,4.34,0,0,0,0,37.34,10.46,0.86,3.56,9.6,0,163.6,0,0,2.58,0.73,0
 72-82,0,0,0,2.92,0,0,4.57,0,2.7,0,0,84.77,16.4,2.6,0.8,18.11,1.28,301.14,0,0.79,0,0,0
 84-94,0,0,0,0,0,0.92,1.71,0,0,4.49,0,80.9,1.36,0,1.04,17.38,0,503.34,0,0,0,1.15,0
 96-106,0,0,0,0,8.02,0,8.57,0.74,0,2.01,2.21,176.49,9.02,0.85,0,22.07,0,549.17,0,6.19,0,0,0
108-118,0,0,0,0,1.12,0,15.51,0,0,0,0,103.7,17.86,0,0,40.21,0,441.58,0,0,0,0,0.73
120,0,0,0,0,0,0,29.67,0,0,7.35,0,79.82,2.29,0,2.49,27.38,0,585.38,0,0,2.14,0,0
