stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,67.13,836.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65.06,0,0,0,0,0,0,0,0,0,0
  5-6,52.15,494.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32.47,0,0,0,0,17.43,0,0,0,0,0,0,0,0,0,0
  7-9,0,4.72,0,3.93,0,0,0,15.99,0,0,0,0,0,4.63,0,0,0,0,0,0,0,0,0,0,0,214.75,6.29,0,0,64.16,0,18.16,0,0,0,0,0,0,0,0,0
 10-12,4.89,0,0,0,0,0,0,13.77,0,0,0,0,0,9.43,0,0,0,0,0,0,0,0,0,0,0,179.43,5.7,0,0,46.08,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0.8,3.6,0.84,0,0.87,0,0,0,0,0,0,0,0,0,0,0,0,0,5.85,0,0,0.88,31.34,0,0,0,0,15.51,0.9,1.3,0.89,3.83,6.71,0,0,2.49,0,0
 24-34,0,0,0.65,0,6.37,0,0,12.11,0,1.06,4.2,15.59,0,0,0.79,1.77,1.75,0,1.83,8.18,0,5.91,0,0,0,149.03,2.06,2.14,0,0,85.37,0,0,2.15,1.57,25.6,0,0,12.98,0,0
 36-46,0,0,0,0,20.69,0,0,3.07,0,1.83,2.96,24.47,0,0,0.99,24.81,0.93,0,0,3.7,0,19.96,0,0,0.92,132.65,0,5.26,0,0,119.13,0,0,1.41,0,50.94,0,0,4.47,0,0
 48-58,0,0,0,0,19.46,0,0,8.88,0,3.59,2.84,42.5,3.23,1.19,0,18.26,0.38,0,2.55,3.38,3.8,54.37,4.98,0,2.9,89.75,7.01,1.65,10.07,0,172.81,0,0,0.78,0,56.77,0,0,7.07,0,7.3
 60-70,0,0,0,0,26.94,0,0,29.25,0,9.41,2.4,82.27,9.44,0,0,22.45,0.64,4.03,1.65,13.79,0,44.75,10.6,7.94,6.55,82.9,0,2.69,4.03,0,178.02,0,0,2.81,0,57.66,0,0,19.26,0,0
 72-82,0,0,0,0,11.58,0,0,27.02,0,0.57,2.03,97.83,35.54,0,1.39,9,0.74,0.65,9.91,8.1,0,107.56,5.76,2.35,9.23,56.81,1.15,10.65,10.46,0,245.56,0,0,5.04,0,8.67,0.88,2.08,9.82,2.1,2.86
 84-94,0,0,2.59,0,22.85,0,0.71,40.36,0,5.7,3.75,91.95,70.96,0,0,24.99,7.91,5,18.76,56.2,1.74,87.87,13.77,3.84,12.54,91.99,2.71,26.82,8.45,0,675.88,0,0,7.33,0,2.49,5.02,0,12.07,2.73,0
 96-106,0,0,3.14,0,61.04,1.21,3.07,34.29,0,6.39,2.8,51.12,115.07,0,0,18.36,5.13,1.83,12.17,150.27,1.26,97.09,18.92,4.32,4.26,118.93,0,29.2,5.41,0,607.14,0,0,6.05,0,11.51,9.07,4.66,8.44,3.69,6.14
108-118,0,0,0.52,0.44,64.4,6.77,5.17,54.24,2.14,20.32,0.8,63.98,272.76,0,0.86,24.89,18.27,1.17,22.29,230.22,0.89,112.52,46.15,8.45,2.32,125,0,18.52,18.6,0,877.94,0,0,18.07,0,2.89,7.69,4.94,11.7,4.04,0
120,0,0,3.9,0,172.92,4.51,1.89,77.84,0,13.06,3.26,115.28,308.38,0,11.91,46.47,5.98,0,52.45,276.23,0,116.64,6.56,0,11.64,219.69,2.01,42.83,9.72,0,569.42,0,0,18.28,0,2.31,0,2.93,23.33,3.74,0
