stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,heart,ionocyte,lateral_line,liver,mesenchyme,mural_cell,muscle,neural,notochord,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,25.94,337.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.75,0,0,0,0,0,0,0,0,0,0,0
  5-6,44.12,365.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,5.05,0,0,0,0,0,0,0,0,0,0,57.87,0,0,22.37,0,12.24,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,4.9,0,0,0,0,0,0,0,0,0,0,29.64,0,0,17.94,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,1.88,0,0.98,0,0,0,0,0,0,1.41,0.84,0,0.84,5.44,0,0,0,0,0,1.02,0,0,0.99,2.87,0,0,0,0,0
 24-34,0,0,0,0,0,0.63,0,0,0.62,0,0,0,0,1.03,0,0,3.48,0,0,0,0,0,0,0,0,0,2.07,0,0,2.01,0,0
 36-46,0,0,0,0,0,0,0,0,0,0,0,0,0,22.65,0,3.21,13.16,17.61,0,0,0,0,0,0,0.74,0,1.48,0,0,0,0,7.75
 48-58,0,0,0,0.4,0,2.01,0,0.87,0,0,0,0,0,7.73,0,1.15,21.77,5.85,0,0,0,0,0,0,0,0,11.75,0,0,0,0,0
 60-70,0,0,0,0,0,13.97,0,0,0,0,0,0.66,0,31.53,0,1.13,31.08,1.31,0,0,0,0,0,0,0,0,5.36,0,0.84,0.72,0,0
 72-82,0,0,0,0,0,8.68,0,2.43,0.68,1.6,0,0.69,0,29.52,1.46,2.29,38.28,3.45,0,0,0,0,0,0,0,0,17.11,3.98,2.61,1.1,2.68,2.17
 84-94,0.62,0,0,1.96,0,3.82,2.83,0,1.02,0,0,0,0,28.96,0,3,49.23,0,0,0,2.62,0,0,0,0,0,13.92,0,0,0,7.35,0
 96-106,0,0,0,0,7.83,1.42,0,2.3,0,0.96,0,0,0,12.69,1.86,0,56.29,0,0.65,0,0,0,0,0,0,0,9.72,0,0,1.51,1.34,0
108-118,0,0,0.74,1.57,0,9.6,2.5,0,5.05,0,0.75,0,0,41.27,6.74,4.46,56.19,0,0,0,2.59,0,0,0.81,0,0,10.65,0,0,0,3.3,0
120,0,0,0,3.77,0,34.11,0,1.26,0,0,0,0,0,42.08,0,7,144.02,1.57,5.18,0,1.18,0,0,0,0,0,18.55,0,10.83,1.26,15.34,0
