stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,glial,gut,hatching_gland,heart,mesenchyme,mucous,muscle,neural,notochord,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord
  3-4,0,119.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.43,0,0,0,0,0
  5-6,20.6,128.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,6.6,5.25,6.76,0,0,11.41,0,0,10.83,0,0,0,0,69.79,5.98,11.89,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,86.54,0,4.25,0,0,0,0,0,0
 14-21,0,0,0,6.43,0,2.7,0,0,0,0,0,0,1.14,21.5,0,0,0,1.12,0,0,1.12,3.44
 24-34,0,0,0,0,0,1.11,0,0,0,0,0,0,0,23.42,0,0,3.03,0,0,0,0,2.35
 36-46,0,0,0,0,0,0,0,0,0,0,0.6,0,0,7.06,2.72,0,0.88,0,0,0,0,0.81
 48-58,0,0,0,0,0,0.46,0,0,0,0,0,0,0,2.28,0,0,1.22,0,0,0.4,0,0.87
 60-70,0,0,0,0,0,3.47,0.73,0,0,0,0,0,0,13.06,0,0,0,0,0,0,0,0
 72-82,0,0,0,0,0,11.93,0,0,0,0.88,2.2,0,0,4.86,0,0,0.99,0,0,0,0,0
 84-94,0,0,0,0,0.55,10.9,0,0,0,0,0.98,0,0,6.81,0,0,5.05,0,0,0,0,0
 96-106,0,0,0,0,0,1.08,1.41,0,0,0,0,2.03,0,0,0,0,7.8,0,0,0,0,0
108-118,0,0,0,0,0,0,1.08,0.42,0,0,0,1,0,8.1,0,0,6.93,0,0,0,0,0
120,0,0,0,1.24,0,19.26,7.14,0,0,0,0,0,0,22.76,0,0,3.21,0,2.39,0,0,0
