stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin_epithelia,glial,gut,hatching_gland,heart,immune,iridophores,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,vasculature,visceral_smooth_muscle,xanthophores
  3-4,142.57,1090.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.26,0,0,0,0,0,0,0
  5-6,93.03,2459.42,12.33,0,0,0,0,0,0,36.43,0,0,0,0,0,0,242.91,0,0,0,59.34,0,18.42,0,0,0,0,0,0,0
  7-9,7.97,11.49,41.27,0,0,8.8,0,0,0,8.95,0,0,0,0,0,0,402.53,12.69,0,0,154.41,0,0,0,0,0,0,0,0,0
 10-12,0,0,12.17,0,0,8.16,0,0,0,0,0,0,0,0,0,0,153.6,9.62,0,0,86.94,0,0,0,4.87,0,0,0,0,0
 14-21,0,0,0,16.25,0.83,0,0,0,0,0,0,0,0,2.41,0,1.96,67.49,1.53,0,0,0,0,0,1.83,0,3.96,6.63,0,0,0
 24-34,0,0,0,0.59,2.77,5.91,0,5.36,0,0,0,0,0,11.01,0,0.98,28.66,3.63,0.98,1.57,0,0,0,0,0,0,15.29,0.65,0,0.77
 36-46,0,0,0,0,1.75,13.3,3.16,0,0,0,0,0,0,5.2,0,0.65,28.8,0,0.66,0,0,0,0,0,0,0,2.42,2.96,0,0
 48-58,0,0,0,0.41,20.66,38.24,0,1.19,0,0,0,0,0,7.13,0.53,2.41,23.36,0,0,0,0,0,0,0,0,0,2.59,0,0,0
 60-70,0,0,0,0,0,57.78,0,2.69,0,0,0,0.57,4.51,4.15,0,1.07,24.75,0,0,0,0,0.63,0,0,0.62,0,11.7,1,0,5.13
 72-82,0,0,0,0,1.1,23.15,0,2.81,0,0,0.66,0.72,0,8.35,0,0,28.26,0,0,0,0,0,0,0,0,0,0,0,0,0
 84-94,0,0,0,0,9.73,7.21,0,1.25,0,0,0,0,0,1.55,0,0,7.34,0,0,0,0,0,0,0,0,0,0,0,0,0
 96-106,0,0,0,0,22.58,44.68,0,0,0.73,0,0,2.2,0,4.02,0,1.95,20.63,0,0,0,0,0,2.13,0,0,0,1.13,0,2.62,0
108-118,0,0,0,0,13.77,16.32,0.66,2.39,0,0,0,0.84,0,5.15,0,0,18.78,0,0,1.18,0,0,0,0,0,0,0,0,0,0
120,0,0,0,0,8.76,15.48,0,4.75,0,0,0,0,0,0,0,0,33.68,0,0,0,0,0,0,0,0,0,0,0,0,0
