stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vasculature,xanthophores
  3-4,17.23,447.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.98,0,0,0,0,0,0,0
  5-6,47.73,611.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.41,0,0,0,0,0,0,0,0
  7-9,0,29.3,0,37.53,0,0,11.18,0,0,0,0,9.71,0,0,0,0,0,0,0,0,0,0,254.42,19,0,0,128.68,0,0,0,0,0,0,0,0
 10-12,0,6.72,0,8.22,0,0,4.33,0,0,0,0,4.01,0,0,0,0,0,0,0,0,0,0,75.51,0,0,0,67.86,3.3,0,12.54,0,0,0,0,0
 14-21,0,0,0,1.33,3.21,4.81,0.92,0,0,0,0,0,0,0,0,0,0,0,0,1.43,0,3.2,23.02,0,0,0,1.23,6.26,6,0,5.74,9.05,0,0.89,0
 24-34,0,0,0.81,0.84,4.01,0,0,1,0,0,0,0,0,0,0,0,0.66,0,0,6.25,1.87,1.83,48.08,0,0.95,1.65,0,8.58,0,0.71,1.2,15.98,0,5.35,1.71
 36-46,0,0,0,0,3.76,0,8.03,0,1.69,0,0,0,0,0,2.47,0,0,1.62,0,9.38,0,0.58,41.95,0.64,0,2.61,0,22.17,0,0.56,0,14.77,0,0.73,0
 48-58,0,0,0,0,21.63,0,17.22,0,0.45,0.45,2.44,0,0,0,0,0,0,2.25,0,4.38,0.82,1.05,40.86,0,2,0,0,18.73,0,0,0,6.05,0,0,7.19
 60-70,0,0,0.65,0,6.5,0.76,15.99,0.99,0,0.91,4.03,0,0,0,0,0,0,0,0,2.05,0,0,15.99,0,0,0.87,0,16.24,0,0,0,0,1.72,0.88,0
 72-82,0,0,0,0,16.44,0,18.21,0,0,3.07,0.7,0,0.9,0,0.56,0.73,0,0,0,1.57,0,1.06,17.93,0,0,0.88,0,1.19,0,0,0,0,2.01,1.61,0
 84-94,0,0,0,0,6.61,0,1.77,1.14,0,0,6.5,0,0,0,0.58,0,1.24,0,2.21,6.97,0,0,4.53,0,5.73,0,0,3.29,0,0,0,0.79,0,2.69,0
 96-106,0,0,0,0,11.31,0,8.61,0,0,0.93,0,0,0,1.18,0.63,0,2.96,0,1.26,3.48,0,0,8.64,0,1.8,0,0,8.65,0,0,0,0,0,0,0
108-118,0,0,0,0,2.58,1.42,3.04,0,0,2.28,3.7,0,0,0.42,0.72,0.43,0,0,0,3.98,0,1.03,11.42,0,1.97,1.21,0,9.41,0,0,0,0,0.81,0,0
120,0,0,0,0,2.57,5.24,0,1.41,0,11.74,1.52,0,0,1.38,1.4,0,0,0,0,18.76,0,0,3.63,0,3.36,4.72,0,9.28,0,0,0,0,0,0,0
