stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_epithelia,glial,gut,ionocyte,mesenchyme,muscle,neural,olfactory,periderm,pgc,pronephros,somites,spinal_cord
  3-4,11.67,132.32,0,0,0,0,0,0,0,0,0,0,0,0,0,29.49,0,0,0,0
  5-6,0,46.74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,4.42,0,0,0,0,0,0,0,0,0,7.79,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,6.92,0,0,0,0,0,0
 14-21,0,0,0,0,2.02,4.11,0,0,0,0,0,1.34,0,2.21,0,0,0,1.06,1.09,1.2
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,0,2.7,0,0,1.92,0,0,0
 36-46,0,0,0,0,0,0,0,0,0,0,0,0,0,1.98,0,0,1.71,0,0,0
 48-58,0,0,0,0,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 60-70,0,0,0.7,0,0,0,1.52,0,0,0,0,0,0,0,0.73,0,0,0,0,0
 72-82,0,0,0,0,0,0,6.42,0,1.77,0,0,0,0,9.25,0,0.64,0,0,0,0
 84-94,0,0,0,0,0.83,0,1.02,1.41,0,0,0,0,0,1.48,0.93,0,0,0,0,0
 96-106,0,0,0,0,4.92,0,0.79,0,1.01,2.07,0.75,0,0,2.18,2.65,1.89,1.62,0,0,0
108-118,0,0,0,0,0,0,2.4,0,0,0,0,0,0,4.74,0.99,0,1.9,0,0,0
120,0,0,0,0,0,0,0,0,0,0,0,0,1.83,10.68,0,0,0,0,0,0
