stage,erythrocytes,glial,heart,mesenchyme,neural
 14-21,0,0,27.26,15.71,0
 24-34,0.87,0,9.25,1.32,0
 36-46,0,0,4.22,0,1.47
 48-58,0,0.86,7.42,0.77,1.35
 60-70,0,0,0,0,0.83
 84-94,0,0,1.6,0,0
108-118,0,0,1.02,0,1.37
