stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,immune,ionocyte,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,pronephros,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,43.05,1495.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53.23,0,0,0,0,0,0,0,0
  5-6,44.05,289.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.85,0,0,0,6.56,0,0,0,0,0,0,0,0,0,0
  7-9,7.38,7.1,0,0,0,11.74,0,0,0,0,7.03,0,0,0,0,0,0,0,64.85,0,0,0,12.45,0,0,8.66,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,19.06,0,0,0,0,0,0,0,92.52,0,0,0,8.56,0,10.14,0,0,0,0,0,0,0,0
 14-21,0,0,0,5.69,11.66,0,0,0,0,3.86,5.45,0,10.13,0,0,2.71,0,0,43.57,0,0,0,0,0,46.77,0,0,5.24,0,0,0,0,0
 24-34,0,0,0,0,2.06,3.24,0,0,0,0.79,4.65,0,17.54,0,7.55,36.4,0,2.29,42.23,0,0,0,0,0,76.75,0,0.86,2.97,0,0,0,0,3.57
 36-46,0,0,0,0,0,3.81,1.42,0,0,2.05,2.83,0,2.58,1.18,0,25,0,0,12.34,0,0,0,0,0,81.3,0,0,5.73,0,0,0,0,0
 48-58,0,0,0.42,0,0.46,11.33,0.54,0,3.95,1.07,9.71,0,7.91,0,1.15,31.98,0,0,20.88,0,0,0,0,0,33.47,0,0,2.64,0,0,2.31,0,0
 60-70,0,0,0,0,0.8,25.94,1.36,0,17.04,2.56,2.72,0,8.43,0,3.82,15.34,0,0,65.42,0,0,0,0,0,44.83,0,0,0,1.22,0,0,0,0
 72-82,0,0,0.76,0,5.58,6.67,1.77,1.31,32.51,6.99,1.88,1.07,1.85,0,5.55,46.75,0,0.71,98.89,0,0,0,0,1.31,21.14,0,0,1.17,0,0,0,0,0
 84-94,0,0,1.2,0,2.42,12.68,1.57,0,50.94,30.04,7.05,2.2,2.22,0,0,74.68,0,0.71,33.91,0,0.95,0.92,0,0,75.55,0,3.22,4.15,0,1.27,2.85,0,0
 96-106,0,0,1.19,0,8.85,27.47,1.59,0,89.63,64.56,2.12,1.44,1.59,0,2.13,25.29,0,0,35.96,0,0,0,0,0,51.33,0,0,0,1.34,0,2.97,2.38,0
108-118,0,0,0,0,13.08,5.86,0.46,0,48.66,54.17,0,4.86,3.26,0,8.74,43.59,0.57,0.8,88.07,0.76,0,0,0,1.23,56.62,0,0,0.95,2.8,0,5.94,1.96,0
120,0,0,0,0,27.54,12.88,0,0,72.15,39.64,0,1.34,8.19,18.38,24.57,4.64,0,0,58.74,0,0,0,0,0,71.11,0,0,7.24,0,0,1.48,0,0
