stage,blastomeres,endoderm,epidermis,exocrine_pancreas,eye,fin_mesenchyme,glial,immune,mesenchyme,mural_cell,muscle,neural,olfactory,otic,presomitic_mesoderm,pronephros,spinal_cord,vasculature
  5-6,6.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,5.38,0,0,0,0,0,0,0,0,0,5.05,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,24.35,0,0,0,7.35,0,0
 14-21,0,0,0.82,0,0,0,0,0,0,0,0,5.41,0,0,0.81,0,0.86,0
 24-34,0,0.6,0,0,0,0,0,0,0.81,0,0,22.07,1.59,0,0,0,0.62,0
 36-46,0,0,1.36,0,0.64,0,0.77,0,2.26,0,0,25.38,0,5.53,0,0,5.26,0
 48-58,0,0,0.55,0,19.75,0.75,0.88,0,2.21,0.99,0.48,35.92,0,0,0,0,7.35,2.66
 60-70,0,0,0,0,15.81,1.64,0,0,2.52,0,0,27.25,0,0,0,0,2.24,0
 72-82,0,0,0,0,11.73,0,0.73,0,4.83,0,0,11.37,0,0,0,0,0,0
 84-94,0,0,0,0,5.91,0,0,0.82,0,0,0,4.22,0,0,0,0,2.24,0
 96-106,0,0,0,0.66,0,0,0,0,0.62,0,0,6.97,0,0,0,0,0,0
108-118,0,0,0,0,7.12,0,2.51,0,0,0,0,4.21,0,0,0,0,0,3.22
120,0,0,0,0,0,0,0,0,1.86,0,0,28.7,0,0,0,0,0,0
