stage,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,olfactory,otic,pericytes,periderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
 10-12,0,9.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,4.79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.95,0,0,0,8.47,4.54,0,0,0,0,0,6.16,0,0,0,0,0
 24-34,0,0,5.73,0,0,0.84,0,0,0,0,0,0,0,0,0,0,0.64,2.1,0,0,1.55,62.11,1.32,0,0,0,0.85,0.65,18.08,0,0,2.41,0,0
 36-46,0.95,0,9.25,0,0,3.02,3.98,1.06,0,2.74,0,0,0,0.79,0,0,1.29,1.64,0,0,0.67,228.48,0.76,0,0,13.32,0,0,32.5,0,0,2.82,0,0
 48-58,0,0,47.83,0,0,23.38,0.68,2.09,0,2.12,0,0,0,0.62,0,0.51,1.41,8.73,1.91,0,1.72,261.82,1.74,0,0,7.52,0,0,39.35,0,0,1.81,0,0.5
 60-70,0,0,159.52,0,0,84.73,0,3.1,0,21.36,0.72,0,0,0,0,0,0,5.92,2.84,0.95,0,370.45,0.6,0,0,1.14,0,0,58.26,0,0,4.25,0,0
 72-82,0,0,107.41,0,0,79.08,0,0,0,13.96,0,0.73,0.49,0.75,0,0,1.8,21.8,0.71,0,0.55,255.56,4.43,0,0,2.03,0,0,20.95,0,2.22,0,0,0
 84-94,0,0,393.88,0,0,85.78,0,8.98,0,13.4,1.19,0,0,7.17,0,0,1.01,3.79,2.75,2.6,0,161.25,0.93,0.64,0,8.18,0.56,0,20.07,0,0,0,0.72,0
 96-106,0,0,221.6,1.14,0,45.14,0,7.55,0,12.55,3.15,0,0,2,0,0,1.03,17.66,0.92,0,2.57,98.69,2.54,0,0,3.47,0.61,0,6.2,0,2.46,2.04,0,1.47
108-118,0,0,356.15,0,4.57,43.28,0,14.61,0.75,12.27,5.41,0,0,4.2,0.49,1.02,0.53,5.47,5.17,2.66,0,117.34,0.81,0,0,1.62,2.07,0,1.17,0.44,0,2.59,0.48,4.71
120,0,0,252.59,0,0,47.28,0,17.16,0,19.73,1.24,0,0,1.4,0,2.19,0,8.38,3.62,11,0,89.27,1.48,0,13.12,0,1.14,0,0,0,0,0,0,2.33
