stage,endocrine_pancreas,epidermis,eye,glial,gut,ionocyte,iridophores,liver,mesenchyme,mural_cell,muscle,neural,olfactory,paraxial_mesoderm,somites,spinal_cord,taste,vasculature,xanthophores
 10-12,0,0,0,0,0,0,0,0,0,0,0,13.06,0,4.44,0,0,0,0,0
 14-21,0,0,0,0.83,0,0,0,0,0,0,0,12.19,0,0,1.85,16.21,0,0,0
 24-34,0,0,2.2,0,0,0,0,0,3.96,0,0.76,78.61,3.63,0,0,46.99,0,0,0
 36-46,0,0,17.93,3.02,0,0,0,0,3.03,0,0,230.87,1.08,0,0,39.5,0,1.38,0
 48-58,0,2.4,40.55,7.09,0,0,0,5.47,5.8,0,0.5,293.56,0,0,0,57.85,0,2.71,1.18
 60-70,0,0,168.98,3.8,0,0,0,0,7.54,0,1.94,297.82,0,0,0,47.52,0,0,0
 72-82,0.62,0,188.39,29.45,0,0,0,0,7.33,0,1.97,355.99,0,0,0,27.06,0,1.23,2.54
 84-94,0,0,102.58,8.19,0,0,0,0,17.88,0,0,158.6,0,0,0,14.16,0,0.72,4.21
 96-106,0,0,91.82,4.24,0.85,0.59,0,0.6,7.83,0,0,180.84,0,0,0,2.29,0.67,3.1,0.86
108-118,0.8,4.77,74.33,20.27,0,0,0.77,1.25,15.5,0,1.23,135.3,0,0,0,6.59,0,0,8.19
120,0,0,54.72,28.41,0,0,0,0,5.32,10.53,0,124.57,0,0,0,1.91,0,0,9.68
