stage,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_epithelia,glial,gut,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,vasculature,xanthophores
 14-21,0,0,2.83,2.22,0,0,40.83,0,0,0,0,4.12,0,0,30.27,0,1.58,2.64,1.74,4.23,1.12,0,63.01,0.81,110.14,0,0
 24-34,0,0,1.07,0,0,0.63,34.79,0,0.68,0,0,1.49,0,0.78,6,0.63,24.08,3.97,0,0.94,0,0,45.66,0.62,97.88,0,0
 36-46,0,0,0.82,0,5.09,0,22.69,0,8.46,0,0,1.9,0,0,52.65,0,28.66,0,0,0,0,1.82,43.91,0,47.33,0,0
 48-58,0,0,0,0,0.58,0.47,39.02,0,0,0,0,1.84,0.69,0,16.67,0,31.7,10.81,0,0,0,0,8.38,0,55.36,0,0.47
 60-70,0,0,0,0,0.96,0,26.67,0.63,0,0,0,2.71,0,0,28.5,0,31.21,3.26,0,0,0,0,8.13,0,31.48,0,0
 72-82,1.95,0,0,0,7.37,1.4,33.75,0.64,7.2,0,0,2.06,0,0,14.63,0,37.74,17.18,0,0,0,0,0.53,0,21.87,0,0
 84-94,1.18,0.59,0,0,13.63,0,61.27,4.73,12.17,0,1.11,3.97,0,0,54.52,0,34.6,17.86,0,0,0,0,15.99,0,29.21,0,0
 96-106,3.15,0,0,0,1.41,2.3,35.55,2.38,5.39,0.77,0,11.79,0,1.04,8.61,0,24.97,15.44,0,1.44,0,0,4.14,0,31.2,0.86,0.8
108-118,0,0.42,0,0,2.37,1.69,27.43,1.48,4.43,0,0,10.89,0,0,15.37,0,40.14,13.42,0,0,0,0,12.14,0,3.58,1.6,0
120,3.01,0,0,1.88,4.56,0,10.71,6.94,0,3.16,0,3.84,0,0,26.85,0,23.12,18.14,0,0,0,0,19.87,0,16.45,0,0
