stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,glial,gut,hatching_gland,heart,immune,iridophores,lateral_line,liver,melanocytes,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vasculature,visceral_smooth_muscle,xanthophores
  3-4,12.35,2795.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,134.54,0,0,0,0,0,0,0,0,0,0
  5-6,145.33,1582.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61.52,0,0,0,7.5,0,0,0,0,0,0,0,0,0,0,0
  7-9,4.39,0,6.9,0,0,0,13.44,0,0,0,5.58,0,0,0,0,0,0,0,0,260.33,0,0,0,75.66,0,18.38,0,0,0,0,0,0,0,0,0
 10-12,0,0,14.35,0,0,0,0,0,0,0,5.54,0,0,0,0,0,0,0,0,154.2,0,0,0,40.38,0,0,0,4.63,0,0,0,0,0,0,0
 14-21,0,0,2.76,6.38,1.99,0,1.45,0,0,0,0,1.99,0,0,0,1.59,0,0,2.34,39.64,1.01,0,0,0,0,0,1.64,0,2.18,4,5.02,0,2.82,0,0
 24-34,0,0,0,1.3,0.87,0,4.64,0,0,0,0,0,0,0,0,0.66,0,1.58,0,16.79,0,0.67,1.66,0,1.35,0,0,0,0,0.7,9.05,0,2.55,0,0
 36-46,0,0,0,0.85,1.13,0,8.99,0,6.06,0,0,0,0,0,0,0,0,6.47,0.66,36.69,0,0,0,0,0,0,0,0.56,0,0,3.24,0,5.89,0,0
 48-58,0,0,0,3.63,0,0,11.24,0.43,1.24,0,0,0,0,0,0,0,12.75,6.47,0,19.22,0,0,0,0,0.47,0,0,0,0,0,8.49,0,0,0,1.26
 60-70,0,0,0,0,2.34,0,9.82,0,7.97,0,0,0,0.57,0,0,0,0,3.99,0.69,62.4,0,0,2.43,0,0,0,0,0,0,0,9.86,0,0,0,0
 72-82,0,0,0,0,8.99,0,7.97,0,4.57,0,0,0,0,0,0,0,0,11.6,0,14.14,0,2.65,0,0,0,0,0,0,0,0,4.71,0,5.93,0,1.94
 84-94,0,0,0,0,10.61,0,14.12,0,7.19,0,0,0,0,0,0,0,0,8.92,0,9.21,0,0.89,0,0,0,0,0,1.03,0,0,5.42,0,1.17,2.03,0
 96-106,0,0,0,0,6.14,0,5.9,0,0,0,0,0,0.93,0,0,0,0,11.37,0,19.91,0,0,0,0,0,0,0,0,0,0,0,1.1,0.81,0.87,3.81
108-118,0,0,0,6.1,5.75,0.65,8.67,0,2.78,0.53,0,0,0,4.42,0.89,0,10.86,14.28,0.95,19.64,0,0,0.48,0,0,0,0,0.51,0,0,0,0,6.23,0,3.42
120,0,0,0,0,2.1,0,3.14,0,0,0,0,0,2.27,0,0,0,9.24,8.9,0,40.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
