stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,10.79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,4.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.2,0,0,0,19.19,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.13,0,0,0,18.26,0,0,38.65,0,0,0,0,0,0,0,0
 14-21,0,0,0,3.03,2.82,3.37,0,0,0,1.04,3.77,1.34,0,0,0,0,0,0,11.64,0,0,2.07,30.43,0,0,0,0,1.35,2,1.1,0,5.31,18.56,0,0,0,0,0
 24-34,0,0.84,0.68,0.6,0.99,4.98,0,0,1.27,1.11,0,0,0,0,0,0,0,0,20.08,0,0,5.31,293.94,0,1.41,7.98,0,0.81,0,9.65,0,2.96,27.66,0,0,3.32,0,3.82
 36-46,0,0,0,3.07,0,13.32,4.61,0,11.11,2.3,0,0,0,0,0,0,0,4.55,16.1,0,0.86,9.01,433.89,0,2.27,5.49,0,8.11,0,3.27,9.3,0,45.58,0,0,2.52,0,0
 48-58,0,0,0,4.49,0,38.25,1.54,0,9.53,0.63,0,0.44,0,0.44,5.81,0.47,3.25,1.2,22.87,0,0,8.54,685.77,0,2.68,16.21,0,1.6,0,13.74,1.07,0,34.92,0,0,0.88,0,0
 60-70,0,0,0,8.17,0,78.44,0,0,7.72,8.32,0,0,0,1.42,13.44,0.88,0,0,23.65,0,1.81,16.1,1131.12,0,5.58,1.58,0,1.86,0,9.62,3.56,0,109.89,0,0,0,0,2.64
 72-82,0,1.7,0,0.51,2.4,143.37,3.82,0,14.63,23.72,0.84,0,5.07,0,12.09,0,1.27,0,69.43,0.57,0.75,9.71,1140.7,0,8.11,2.79,0,6.34,0,28.67,0,0,82.25,0,0,4.74,0.72,0
 84-94,0,0,0,21.1,1.73,111.18,1.27,0,8.45,7.43,0.84,1.27,0,0.62,16.19,0.66,2.69,0,40.76,0,0,4.78,758.31,0,1.46,2.64,0,34.04,0,92.56,1.95,0,38.23,0,1.15,1,1.06,0
 96-106,0,5.79,0,7.07,5.21,121.14,3.09,0.76,16.13,16.04,0,0,1.28,0,41.91,3.71,1.13,0,62.1,0,4.02,0.56,686.22,0,21.55,9.86,0,15.59,0,66.66,0,0,11.22,0.62,0,5.73,0.64,0
108-118,0,0,0,15.6,0,94.34,1.58,1.03,20.95,21.52,3.16,0,1.15,0.55,69.54,1.29,6.5,0,55.59,0,5,3.4,812.03,0,6.22,9.98,0,29.27,0,57.22,1.13,0,4.2,0.51,2.74,0.49,6.36,0
120,0,0,0,11.54,6.74,162.44,1.21,0,5.61,22.24,1.25,0,0,0,39.51,0,9.88,0,86.15,2.8,0,0,1185.48,6,8.07,36.82,0,13.17,0,36.53,1.21,0,23.5,1.19,0,26.74,0,3.6
