stage,axial,blastomeres,epidermis,erythrocytes,eye,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,pronephros,spinal_cord,vasculature
  5-6,9.29,13.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,4.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.63,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,5.32,0,0,0,0,0,0,0,0,0,0,0,0,17.71,11.6,0,0,0,0,0,0,0
 14-21,0,0,0.91,0,0,0,0,0,0,0,0,0,0,0,0.85,0,0.87,10.31,0,0,0,0,3.5,0,2.27,1.23
 24-34,0,0,0.71,0,4.07,0,0,0,0,0,0,0,0,0,2,0,0,27.71,0,0,0,0,6.56,0,2.98,0
 36-46,0,0,0,0,5.11,0.56,1.15,0,0,1.05,0,0,0,0,0.89,0,0,11.71,0,0.62,0,0,4.05,0,0.93,3.13
 48-58,0,0,0,0,11.98,0,2.07,0,2.55,0,0,0,0,0,0.98,0.5,0.62,15.51,0,0,0,0,11.28,2.28,7.06,0.65
 60-70,0,0,0,3.39,13.79,0,0,0,0,0,0,0,0,0.93,6.97,0,0,11.58,0,0,0,0,6.91,0,4.88,1.09
 72-82,0,0,0.93,5.83,10.82,0,0.61,0,0,0,1.67,0,0,0,1.78,0,0,16.98,0,1.3,0,0,4.86,0,9.68,0
 84-94,0,0,0.87,0,7.46,0,2.18,0,0,0,0,0,0,6.93,10.28,1.03,0,15.96,0,0,0,0,8.67,0,0,0.61
 96-106,0,0,1.63,10.64,1.41,0,0,0,0,0,0,0,0,0,0,0,0,14.09,0,0,0.62,1.03,1.55,0,0,0.65
108-118,0,0,0,0,7.73,0,0.84,0.53,0,0,0.56,0.47,0,0,6.92,0,3.93,17.59,0,0.45,0,0,5.48,0,0,0
120,0,0,0,8.66,3.73,3.09,0,0,0,0,0,0,1.5,0,0,0,0,10.67,4.12,0,0,0,6.84,0,0,2.49
