stage,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,glial,gut,hatching_gland,heart,immune,ionocyte,lateral_line,mesenchyme,mucous,mural_cell,muscle,neural,olfactory,otic,paraxial_mesoderm,periderm,spinal_cord,taste,vascular_smooth_muscle,vasculature,xanthophores
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.8,0,0,0,0,0,0,0,0,0
 10-12,5.29,0,0,0,0,0,0,0,5.87,0,0,0,0,0,0,0,0,10.5,0,0,11.83,0,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,1.55,0,0,19.74,0,0,0,0,0,0,0,0,0,0,1.2,0
 36-46,0,0,1.1,0.92,0,1.06,0,0,0,0,0,6.3,0,0,99.58,0,0,1.56,0,0,0,0,3.62,0,0,0,0
 48-58,0,0,0.43,4.4,0,6.43,0,0,0,0,0,106.05,0,1.31,605.47,0,0,13.38,0,0,0,0,1.53,0,0.42,0,3.29
 60-70,0,1.09,0,11.88,0,2.48,0.81,0,0,0,0,42.39,0,5.03,1154.65,0,0,10.97,0,0,0,0.57,0,0,0,0,0
 72-82,0,16.23,0,20.98,0,65.73,5.71,1.08,0,0,3.59,47.61,0,3.5,2707.03,0,0.53,26.51,6.43,0,0,4.23,3.2,0,0,2.57,1.88
 84-94,0,27.01,0,0,0,33.27,5.48,2.44,0,1.66,42.86,28.69,21.91,2.38,4018.02,0,0,3.5,0,0,0,8.28,0,0,0,0,0
 96-106,0,32.32,0,9.89,1.72,48.99,3.05,138.79,0,0,0.65,27.08,12.38,9.03,4151.43,1.9,0,151.82,2.47,0,0,24.81,3.97,2.03,0,0,0
108-118,0,45.17,0,9.54,0,29.5,7.33,0.92,0,2.87,6.23,38.95,0,5.26,3724.26,0,0.82,14.72,6.43,0.57,0,23.04,0,0,1.44,0,0
120,0,64.77,0,19.36,0,4.54,0,19.8,0,0,0,39,0,0,1373.4,0,8.31,11.53,0,0,0,0,0,0,0,0,0
