stage,axial,blastomeres,endoderm,neural,notochord,paraxial_mesoderm
  5-6,15.98,34.52,10.71,17.99,0,21.44
  7-9,0,0,0,0,0,3.23
 10-12,0,0,0,79.33,7.65,0
