stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,lateral_line,liver,melanocytes,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vasculature
  3-4,61.48,567.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,34.02,721.58,0,10.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.17,0,0,0,23.96,18.05,0,0,0,0,0,0,0
  7-9,10.69,7.2,0,3.54,0,0,12.22,0,0,0,0,24.94,0,0,0,0,0,0,0,0,404.04,10.7,0,0,151.43,0,0,0,0,0,0,0,0
 10-12,0,8.63,0,13.86,0,0,28.86,0,0,0,0,7.05,0,0,0,0,0,0,0,0,365.13,0,0,0,90.36,3.1,0,4.95,0,0,5.09,0,0
 14-21,0,0,2.8,2.75,23.38,3.88,4.39,0,0,0,1.87,0,0,0,0.96,0,0,0,5.84,5.26,49.31,0,0,6.2,0.88,0,5.45,1.84,2.58,10.86,19.48,0,0
 24-34,0,0,0,0.71,3.56,3.06,5.2,0,0,1.19,0,0,0,0,1.21,1.76,0,0.67,4.57,0,31.81,0,2.14,2.06,0,9.82,0,0,2.37,0.85,5.05,0,1.61
 36-46,0,0,0,0,10.15,0,5.05,1.14,0,3.15,0,0,0,0,0,0,4.53,0,2.25,0,29.18,0,2.29,1.26,0,19.13,0,0,0,0,2.46,0,0.7
 48-58,0,0,0,0,11.52,1.98,3.43,1.03,0,0.52,0,0,0,0,0,0.41,0,0,1.19,0,16.79,0,2.43,0.46,0,11.28,0,2.74,0,0,1.79,0,2.12
 60-70,0,0,0,0,13.93,0,18.05,1.84,0,0,3.45,0,8.04,0,3.74,0,0,0,1.82,0,18.06,0,3.64,5.63,0,6.06,0,0,0,0,4.71,0,0
 72-82,0,0,0.88,0,4.69,0,9.71,0,0.5,2.32,0.63,0,0,0,0,0.74,0,0,2.65,0.7,9.83,0,4.13,2.18,0,4.28,0,0,0,0,0,0,0
 84-94,0,0,0.94,0,7.15,3.36,11.19,0,0,1.45,2.42,0,0,0,0.63,3.34,0,0,0.62,0.76,5.18,0,0,0.71,0,8.34,0,0,0,0,0,0,0
 96-106,0,0,0,0,0.57,3.04,4.73,0.61,0,5.99,0.89,0,0.71,0,1.37,0,0,0,0,0,8.68,0,2.89,2.13,0,16.25,0,0,0,0,0,0,0
108-118,0,0,1.03,0.49,4.97,8.98,3.23,1.78,0,0,2.02,0,0,0.85,0.48,0.78,0,0,3.8,0.96,8.35,0,3.57,5.19,0,4.62,0,4.29,0,0,0,1.05,0
120,0,0,0,0,2.37,4.03,4.29,2.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.17,0,0,16.6,0,0,0,0,0,0,2.99
