stage,endoderm,epidermis,eye,fin_epithelia,glial,immune,ionocyte,mesenchyme,muscle,neural,periderm,spinal_cord,vasculature
 24-34,0,0,0.98,0,0.99,0,0,0,0.75,10.31,0,1.12,0.79
 36-46,0,8.34,0,0,0,0,0,1.34,0,11.59,1.46,0,0
 48-58,0.43,0,1.62,0,1.23,0,0.55,9.83,0,13.46,0,0.7,1.24
 60-70,0,0,3.27,0,0.57,0,0,0,0,18.58,0,3.46,1.83
 72-82,0,0,6.96,0,0,0.54,0,1.12,0,1.33,0,0,2.29
 84-94,0,0.83,2.46,0,0,0,0,1.45,0,6.52,0,0,0
 96-106,0,0,0,0,0,0,0,2.83,0,4.96,0,0,0
108-118,0,0,1.55,0,0,0,0,3.23,0,7.45,2.07,1.14,0
120,0,0,17.51,3.43,0,0,0,25.98,0,15.94,0,0,0
