stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,89.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,19.66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,3.85,0,0,0,0,0,0,0,11.14,0,0,0,0,0,0,0,0,0,0,64.49,0,11.97,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,5.3,0,0,0,0,22.61,0,0,0,0,13.88,0,0,0,0,0,0,0,0,0,3.87,1527.72,0,28.95,0,0,14.56,5.64,27.42,0,0,0,0,0,0,0
 14-21,0,0,0,167.38,44.79,5.67,0,0,2.82,0,0,0,0,0,0,0,0,0.99,5.51,0,10.78,72.24,2.99,1.67,0,0,0,0.88,0,1.95,1.85,66.82,0,34.21,0,0
 24-34,0,0,0,8.94,4.59,13.55,7.3,4.32,10.39,0,0,0,0,0.63,0,0,0,0,48.33,0,11.42,70.51,0.73,0,0,0,0,0,0,0.88,3.39,33,0,85.65,0,0.71
 36-46,0,0,0,0,9.45,12.89,0,1.17,18.97,0,0,0,0,0,0.65,0,0,0,23.74,1.34,14.69,31.04,0,0,0,0,1.59,2.07,0,0,0,17.51,0,27.98,0.78,1.61
 48-58,0,0,0,0,0.4,8.66,0,0.84,14.82,0,0,0,0,0,0,0,0,0,29.36,0.54,5.79,16.77,0,0,0,0,0,0,0,0,0,23.12,0,20.04,0.48,0
 60-70,0,0,0,0,0,15.97,0,7.55,13.71,0,0,0,0,0,2.74,0,0,0,45.37,3.16,2.61,11.24,0,0,4.14,0,0,0,0,0,0,1.8,0.86,8.03,1.34,3.7
 72-82,0,1.14,0,1.49,7.3,16.61,8.25,1.35,16.61,0,0.55,2.04,1.29,0,1.37,0,0,6.49,62.96,5.59,6.22,54.29,0,0,0.71,0,0,0,0,0,0,8.75,2.64,11.05,20,12.22
 84-94,0,0,0,1.62,5.59,14.77,0,0.74,38.06,0,0,0,2.32,0,16.52,0.9,0,0,36.57,20.91,4.66,25.55,0,0,4.41,0,0,0,0,0,0,5.34,3.66,21.95,9.82,7.2
 96-106,0,0,0,4.43,1.48,8.51,0,2.01,11.78,0,0,0,2.55,0,11.47,0,1.4,0,30.81,13.33,4.39,61.5,0,0,18.66,2.5,0,0,1.33,0,0,6.55,1.94,10.06,4.78,18.96
108-118,0,0,0,3.25,1.55,43.92,0,2.54,19.17,1.32,0,0,1.12,0,46.86,0,0,0.82,60.24,12.49,12.64,80.28,0.72,0,8.43,0,0,0,0,0,0,11.15,1.98,14.6,7.02,58.97
120,0,0,0,0,2.9,0,0,0,16.56,0,0,0,1.35,0,6.44,0,19.61,0,60.77,0,4.38,84.19,0,0,24.01,0,0,0,0,0,0,25.68,0,0,21.16,29
