stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,glial,immune,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,presomitic_mesoderm,pronephros,somites,spinal_cord,vasculature,xanthophores
  3-4,0,45.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,7.56,6.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,4.08,0,3.58,0,0,5.09,0,0,0,0,37.54,0,0,0,12.74,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,56.6,0,0,0,46.88,0,0,0,0,0,0
 14-21,0,0,0,3.16,0.85,0,0,0,0.89,0,17.13,0,0,0,0,0.87,0.83,1.07,0,2.89,0
 24-34,0,0,0,0,0,0,0,0,2.42,0,2.95,0,0,0,0,0,0,0,1.41,1.15,0
 36-46,0,0,0,0,0,0,0,0,3.7,1.22,6.39,0,0.73,0,0,0,0,0,2.73,0,0
 48-58,0,0,0,1.39,0,0.66,0,0,0.47,0,2.5,0,0,0,0,0,0,0,0,0,0
 60-70,0,0,0,0,0,1,0,0,0.93,0,0,0,0,0,0,0,0,0,0,0,0
 72-82,0,0,0,0.82,0,0,2.15,0,2.9,0,0.88,0,0,0,0,0,0,0,0,0,1.11
 84-94,0,0,0,0.87,0,0,1.94,0,4.02,0.98,0,0,0,1.12,0,0,0,0,0.98,0,0
 96-106,0,0,0,0,0,0,0,0.94,3.22,0,1.71,0,0,0,0,0,0,0,0,0.77,0
108-118,0,0,0,0,0,2.68,2.12,0,4.15,1.47,0,0,0,0,0,0,0,0,0,0,0.82
120,0,0,0,0,0,0,0,0,0,0,0,1.37,0,0,0,0,0,0,0,0,0
